id,x,y,z,yaw,pitch,roll
1,1716.99,1014.76,0,-2.19148,-0.0471168,0.0182862
2,1716.76,1014.49,0,-2.1921,-0.0346254,0.0120231
3,1716.56,1014.23,0,-2.19477,-0.0244626,0.00616688
4,1716.4,1013.93,0,-2.19355,-0.0199328,0.00480942
5,1716.18,1013.63,0,-2.19558,-0.0179091,-0.000794894
6,1715.95,1013.25,0,-2.19678,-0.0227311,-0.00377086
7,1715.73,1012.95,0,-2.19758,-0.0259601,-0.0035277
8,1715.55,1012.68,0,-2.19892,-0.0287559,-0.00100085
9,1715.33,1012.36,0,-2.19957,-0.030506,0.00168377
10,1715.11,1012.07,0,-2.1997,-0.0312581,0.00273631
11,1714.92,1011.83,0,-2.20066,-0.0315518,0.00107385
12,1714.67,1011.43,0,-2.19931,-0.0324401,0.00303181
13,1714.42,1011.07,0,-2.19934,-0.0315534,0.00558111
14,1714.24,1010.82,0,-2.20036,-0.030799,0.00494006
15,1714.05,1010.58,0,-2.2015,-0.0300651,0.00473966
16,1713.83,1010.2,0,-2.2004,-0.028448,0.00862039
17,1713.64,1009.95,0,-2.20203,-0.027957,0.00723672
18,1713.45,1009.7,0,-2.20212,-0.0276862,0.00670134
19,1713.2,1009.4,0,-2.202,-0.0263474,0.00404545
20,1713.01,1009.12,0,-2.20257,-0.0274627,0.00303395
21,1712.82,1008.88,0,-2.20344,-0.0262179,0.000171848
22,1712.62,1008.62,0,-2.20487,-0.0277455,-0.000472456
23,1712.39,1008.29,0,-2.20441,-0.0285461,0.000464533
24,1712.2,1008.06,0,-2.20505,-0.0283068,-0.000612596
25,1711.86,1007.63,0,-2.20225,-0.0292796,-0.00332501
26,1711.66,1007.36,0,-2.2027,-0.0292679,-0.00508038
27,1711.49,1007.13,0,-2.20294,-0.0276317,-0.00486569
28,1711.38,1006.97,0,-2.20412,-0.0243736,-0.00705047
29,1711.18,1006.71,0,-2.2043,-0.0237886,-0.00706418
30,1710.87,1006.27,0,-2.20151,-0.0244142,-0.00660372
31,1710.79,1006.11,0,-2.20295,-0.0244777,-0.00766009
32,1710.68,1005.97,0,-2.20516,-0.0252935,-0.00582373
33,1710.56,1005.77,0,-2.20452,-0.0211415,-0.00574188
34,1710.36,1005.48,0,-2.20321,-0.0172679,-0.00858457
35,1710.09,1005.16,0,-2.20005,-0.0159771,-0.0122849
36,1709.89,1004.85,0,-2.19888,-0.0164036,-0.0110917
37,1709.77,1004.62,0,-2.19775,-0.0140945,-0.00608735
