id,x,y,z,yaw,pitch,roll
1,-285.136,226.343,-12.6081,2.44813,0.0127224,0.0399076
2,-284.899,226.135,-12.6073,2.44814,0.014232,0.0406803
3,-285.362,226.547,-12.6093,2.44846,0.0124183,0.0358068
4,-285.584,226.746,-12.6171,2.44876,0.0117865,0.033749
5,-285.802,226.943,-12.6209,2.45002,0.0110265,0.0317525
6,-286.017,227.134,-12.6242,2.45048,0.0108436,0.0313454
7,-286.234,227.319,-12.6212,2.44979,0.0102966,0.0322469
8,-286.456,227.504,-12.623,2.45021,0.00939648,0.0334947
9,-286.66,227.688,-12.6207,2.45114,0.00790719,0.0340089
10,-286.858,227.863,-12.6171,2.45099,0.00679234,0.0336419
11,-287.055,228.045,-12.5998,2.45118,0.00254601,0.0329157
12,-287.255,228.216,-12.6029,2.451,-0.00198103,0.0346
13,-287.448,228.376,-12.6247,2.45068,-0.00424755,0.037534
14,-287.636,228.535,-12.6383,2.45033,-0.00342145,0.0386023
15,-287.823,228.697,-12.6453,2.45067,-0.00175822,0.039376
16,-287.998,228.849,-12.6397,2.45083,-0.000596592,0.039671
17,-288.175,229.006,-12.6473,2.45115,-0.00056222,0.0398988
18,-288.35,229.147,-12.6715,2.45167,0.00163339,0.0410111
19,-288.52,229.295,-12.6746,2.45238,0.00507148,0.0397987
20,-288.677,229.435,-12.6735,2.45268,0.00677191,0.0375637
21,-288.84,229.577,-12.6696,2.45306,0.00646238,0.0350178
22,-288.99,229.708,-12.6751,2.45399,0.00616699,0.0347002
23,-289.16,229.852,-12.6915,2.45351,0.00669987,0.0369351
24,-289.314,229.977,-12.7064,2.45343,0.00977141,0.0388143
25,-289.461,230.095,-12.7173,2.45409,0.0121613,0.0418165
26,-289.614,230.231,-12.7155,2.4554,0.0141499,0.0434548
27,-289.75,230.358,-12.7031,2.45526,0.014558,0.0449574
28,-289.888,230.481,-12.6963,2.45432,0.0137531,0.0444258
29,-290.029,230.601,-12.6846,2.45533,0.0117596,0.0437294
30,-290.167,230.724,-12.6928,2.45654,0.00959218,0.0433563
31,-290.303,230.836,-12.6867,2.4565,0.00845977,0.0423819
32,-290.437,230.958,-12.6663,2.45714,0.00590117,0.0402967
33,-290.552,231.078,-12.6768,2.45625,0.00189493,0.0410557
34,-290.693,231.184,-12.6687,2.45591,-0.000518633,0.0405712
