id,x,y,z,yaw,pitch,roll
1,-285.09,226.339,-12.6092,2.44803,0.011796,0.0392295
2,-284.87,226.15,-12.604,2.44803,0.0122129,0.0400526
3,-285.308,226.527,-12.6194,2.44807,0.0114495,0.0365188
4,-285.529,226.715,-12.6246,2.44855,0.010764,0.0346614
5,-285.749,226.908,-12.6308,2.44974,0.0101679,0.03227
6,-285.956,227.087,-12.6206,2.44994,0.0100876,0.030987
7,-286.168,227.265,-12.6195,2.44917,0.00979693,0.0317507
8,-286.379,227.449,-12.6212,2.44974,0.00935703,0.0324022
9,-286.595,227.645,-12.6128,2.45092,0.00734775,0.0330616
10,-286.787,227.832,-12.6087,2.45098,0.00622641,0.0321165
11,-286.99,228.021,-12.5953,2.45104,0.00179542,0.0321966
12,-287.188,228.184,-12.5968,2.45062,-0.00251876,0.0346362
13,-287.383,228.346,-12.6179,2.45045,-0.00483597,0.0375278
14,-287.587,228.514,-12.6333,2.44992,-0.00424745,0.039356
15,-287.778,228.68,-12.6372,2.45061,-0.00251895,0.0395457
16,-287.967,228.844,-12.6413,2.45087,-0.00155942,0.0404251
17,-288.146,229.001,-12.6588,2.45104,-0.00135654,0.0409234
18,-288.323,229.146,-12.671,2.45153,0.00102601,0.0411261
19,-288.491,229.29,-12.6859,2.45242,0.00404111,0.0413986
20,-288.645,229.436,-12.6766,2.45255,0.00608398,0.037949
21,-288.803,229.579,-12.6693,2.4529,0.00600951,0.0354776
22,-288.965,229.709,-12.6794,2.45387,0.0054139,0.0350493
23,-289.129,229.843,-12.6886,2.45342,0.00585753,0.0372436
24,-289.285,229.976,-12.696,2.45327,0.00963549,0.0381056
25,-289.45,230.111,-12.6979,2.45382,0.0119153,0.040473
26,-289.608,230.242,-12.7001,2.45505,0.0135936,0.0426331
27,-289.749,230.363,-12.6949,2.45516,0.0137155,0.0445827
28,-289.888,230.486,-12.6813,2.4544,0.0128818,0.0436888
29,-290.02,230.6,-12.679,2.45531,0.011344,0.0439872
30,-290.167,230.733,-12.6848,2.45658,0.00915153,0.0438222
31,-290.3,230.852,-12.6853,2.45646,0.00792702,0.0432065
32,-290.424,230.967,-12.6811,2.45725,0.00551334,0.0411193
33,-290.561,231.089,-12.6826,2.45649,0.00125191,0.0416015
34,-290.696,231.197,-12.6772,2.45624,-0.00149493,0.0412688
35,-290.804,231.3,-12.6371,2.45598,-0.00796404,0.041343
36,-290.932,231.41,-12.6425,2.45493,-0.0150178,0.0419204
37,-291.076,231.536,-12.6834,2.45525,-0.0159674,0.0410268
38,-291.217,231.649,-12.7252,2.45584,-0.00968586,0.0404654
39,-291.339,231.75,-12.7572,2.45638,-0.000317716,0.0410488
40,-291.45,231.852,-12.7352,2.45697,0.00480685,0.0416516
41,-291.584,231.97,-12.7115,2.45651,0.00197232,0.0436102
42,-291.72,232.088,-12.7189,2.45541,-0.00107903,0.0478951
43,-291.85,232.191,-12.7261,2.45425,-0.000564322,0.0522283
44,-291.977,232.304,-12.7266,2.45418,0.00132452,0.0546468
45,-292.097,232.409,-12.7204,2.45466,0.00404434,0.0534714
46,-292.204,232.508,-12.7268,2.45556,0.00642416,0.0497672
47,-292.31,232.606,-12.7281,2.45637,0.00684786,0.0464356
48,-292.426,232.708,-12.7228,2.45661,0.00487412,0.0457341
49,-292.547,232.82,-12.7213,2.45548,0.00374884,0.0472105
50,-292.665,232.919,-12.7405,2.4548,0.00435229,0.0482668
51,-292.784,233.013,-12.7372,2.45549,0.00547309,0.0503367
52,-292.898,233.116,-12.7364,2.45471,0.00537598,0.0505671
53,-293.017,233.221,-12.7452,2.4539,0.00599019,0.0491805
54,-293.113,233.298,-12.7552,2.45527,0.00897118,0.0490269
55,-293.257,233.418,-12.735,2.45642,0.0104114,0.0491439
56,-293.377,233.536,-12.7017,2.45613,0.00711147,0.0458965
57,-293.507,233.655,-12.7067,2.4544,-0.000999836,0.0435451
58,-293.645,233.782,-12.7359,2.45482,-0.00326639,0.0421801
59,-293.764,233.889,-12.7379,2.45682,-0.0023512,0.0435082
60,-293.899,234.006,-12.7291,2.45782,-0.00287127,0.0463891
61,-294.026,234.114,-12.7157,2.45764,-0.00539788,0.0473637
62,-294.15,234.231,-12.7282,2.45596,-0.00703469,0.0486294
63,-294.284,234.357,-12.7355,2.45522,-0.00648282,0.0498087
64,-294.413,234.473,-12.7419,2.45569,-0.00587783,0.0511698
65,-294.547,234.593,-12.7589,2.45477,-0.00585203,0.0519791
66,-294.679,234.715,-12.7582,2.45407,-0.00415542,0.0500077
67,-294.809,234.826,-12.7594,2.45495,-0.00420104,0.0483876
68,-294.946,234.944,-12.7694,2.45546,-0.00476707,0.0484557
69,-295.086,235.072,-12.7713,2.45465,-0.00483526,0.0484345
70,-295.223,235.187,-12.7784,2.45515,-0.00525613,0.0488871
71,-295.344,235.295,-12.7738,2.45518,-0.00474072,0.0493543
72,-295.477,235.405,-12.7765,2.45436,-0.00517065,0.0498011
73,-295.612,235.525,-12.7791,2.4536,-0.00560397,0.0499064
74,-295.752,235.643,-12.7814,2.45363,-0.00567176,0.0502559
75,-295.888,235.759,-12.7797,2.45439,-0.00570277,0.0500064
76,-296.015,235.873,-12.7839,2.45384,-0.00565542,0.049639
77,-296.155,235.993,-12.7826,2.45317,-0.00509356,0.0485582
78,-296.293,236.12,-12.7716,2.45345,-0.00519961,0.045882
79,-296.433,236.25,-12.7833,2.45468,-0.00538001,0.0454614
80,-296.572,236.372,-12.789,2.45436,-0.00384119,0.0451231
81,-296.717,236.492,-12.7903,2.45434,-0.00216431,0.045168
82,-296.858,236.611,-12.7845,2.45478,-0.00190386,0.0466969
83,-296.994,236.731,-12.7779,2.45466,-0.00201927,0.0472336
84,-297.138,236.858,-12.7719,2.45443,-0.00192044,0.0463626
85,-297.254,236.972,-12.7788,2.45423,-0.00113952,0.0460981
86,-297.38,237.093,-12.7851,2.45356,-0.000356382,0.0456989
87,-297.518,237.218,-12.7761,2.4534,3.31062e-05,0.0452178
88,-297.661,237.348,-12.7735,2.45412,-0.00129985,0.0446603
89,-297.814,237.474,-12.775,2.45512,-0.0014508,0.045299
90,-297.975,237.593,-12.7694,2.45477,-0.00159194,0.0451646
91,-298.122,237.72,-12.7774,2.45482,-0.00217394,0.0443823
92,-298.262,237.849,-12.7772,2.45554,-0.00223012,0.0436864
93,-298.402,237.981,-12.7747,2.45601,-0.0025658,0.0424042
94,-298.545,238.096,-12.778,2.45566,-0.0028637,0.041512
95,-298.688,238.221,-12.7782,2.45536,-0.00386743,0.0402119
96,-298.845,238.357,-12.7764,2.45592,-0.0057607,0.0394945
97,-298.998,238.486,-12.7794,2.45617,-0.00742967,0.0384032
98,-299.147,238.614,-12.7818,2.45709,-0.00910743,0.0375058
99,-299.29,238.735,-12.7895,2.45812,-0.0088816,0.0364314
100,-299.436,238.864,-12.7986,2.45794,-0.00734989,0.0352651
101,-299.588,238.998,-12.8041,2.45843,-0.00656642,0.0345601
102,-299.733,239.121,-12.807,2.45901,-0.00602246,0.0369968
103,-299.891,239.237,-12.8024,2.45907,-0.0055136,0.0395446
104,-300.043,239.376,-12.7982,2.45969,-0.00606633,0.0375558
105,-300.196,239.51,-12.8091,2.4602,-0.00691739,0.0360495
106,-300.342,239.633,-12.8163,2.46069,-0.0060057,0.0341981
107,-300.496,239.763,-12.8216,2.46132,-0.00521652,0.0331744
108,-300.642,239.887,-12.8262,2.46204,-0.00426062,0.0314781
109,-300.8,240.008,-12.8246,2.46305,-0.00436802,0.0302536
110,-300.965,240.144,-12.829,2.46342,-0.00462851,0.0296019
111,-301.12,240.271,-12.8313,2.46361,-0.00500476,0.0289395
112,-301.274,240.401,-12.8351,2.46361,-0.00494725,0.0281982
113,-301.427,240.523,-12.8283,2.46371,-0.00310219,0.0257233
114,-301.593,240.666,-12.8242,2.4666,-0.00296672,0.0224811
115,-301.736,240.798,-12.8209,2.46888,-0.00514166,0.0213755
116,-301.908,240.94,-12.816,2.47084,-0.00642401,0.0185907
117,-302.085,241.062,-12.8303,2.47373,-0.00639561,0.0174152
118,-302.249,241.186,-12.8344,2.4755,-0.00626663,0.01847
119,-302.41,241.305,-12.8373,2.47858,-0.00545579,0.0175068
120,-302.572,241.425,-12.8411,2.48103,-0.00496157,0.0174513
121,-302.735,241.56,-12.8414,2.48249,-0.00469629,0.0174181
122,-302.906,241.688,-12.8407,2.48486,-0.00487081,0.0169331
