id,x,y,z,yaw,pitch,roll
1,-285.09,226.338,-12.6093,2.44803,0.0117839,0.0393074
2,-284.87,226.15,-12.604,2.44804,0.0122156,0.0400496
3,-285.308,226.527,-12.6194,2.44807,0.0114481,0.0365196
4,-285.529,226.715,-12.6246,2.44855,0.0107643,0.034661
5,-285.749,226.908,-12.6308,2.44974,0.0101674,0.0322718
6,-285.956,227.087,-12.6206,2.44994,0.010088,0.0309889
7,-286.168,227.265,-12.6195,2.44917,0.00979752,0.0317483
8,-286.382,227.45,-12.6219,2.44978,0.00933125,0.0323709
9,-286.595,227.645,-12.6128,2.45092,0.00734937,0.0330608
10,-286.787,227.832,-12.6088,2.45098,0.00622503,0.0321189
11,-286.99,228.021,-12.5954,2.45104,0.00178584,0.0322049
12,-287.188,228.184,-12.5966,2.45062,-0.00251674,0.0346081
13,-287.383,228.346,-12.6179,2.45045,-0.00483595,0.0375281
14,-287.587,228.514,-12.6332,2.44992,-0.00424778,0.039356
15,-287.778,228.68,-12.6373,2.4506,-0.00252186,0.0395583
16,-287.967,228.844,-12.6413,2.45087,-0.00155973,0.0404252
17,-288.146,229.001,-12.6588,2.45105,-0.00135731,0.0409146
18,-288.323,229.146,-12.671,2.45153,0.0010287,0.0411335
19,-288.491,229.29,-12.6859,2.45243,0.00404069,0.0413993
20,-288.645,229.436,-12.6764,2.45255,0.00608246,0.0379519
21,-288.803,229.579,-12.6693,2.4529,0.00600139,0.035489
22,-288.965,229.709,-12.6795,2.45387,0.00541512,0.0350496
23,-289.13,229.843,-12.6894,2.45342,0.00584729,0.0372781
24,-289.285,229.976,-12.6958,2.45327,0.00963503,0.0380972
25,-289.45,230.111,-12.6979,2.45381,0.0119188,0.0404466
26,-289.608,230.242,-12.7,2.45504,0.0135974,0.0426367
27,-289.748,230.362,-12.6946,2.45515,0.0137709,0.0445587
28,-289.888,230.486,-12.6814,2.4544,0.0128817,0.0436969
29,-290.02,230.6,-12.6789,2.45531,0.0113443,0.0439869
30,-290.167,230.733,-12.6847,2.45658,0.00915394,0.0438188
31,-290.3,230.852,-12.6853,2.45647,0.00792583,0.043207
32,-290.424,230.967,-12.6809,2.45724,0.00552459,0.0411047
33,-290.561,231.089,-12.6826,2.45649,0.00124954,0.0415988
34,-290.696,231.197,-12.677,2.45624,-0.00148846,0.0412578
35,-290.804,231.3,-12.6371,2.45598,-0.00796469,0.0413435
36,-290.935,231.413,-12.6437,2.45497,-0.015159,0.041935
37,-291.076,231.536,-12.6831,2.45524,-0.0159563,0.0410146
38,-291.208,231.641,-12.7205,2.4557,-0.00979905,0.040635
39,-291.339,231.75,-12.7573,2.45638,-0.000318598,0.0410501
40,-291.45,231.852,-12.7353,2.45697,0.00480482,0.0416621
41,-291.584,231.97,-12.7115,2.45651,0.0019719,0.043612
42,-291.72,232.088,-12.7188,2.45541,-0.00107661,0.0478917
43,-291.85,232.191,-12.726,2.45425,-0.000565621,0.0522207
44,-291.977,232.304,-12.7265,2.45418,0.00132374,0.0546498
45,-292.095,232.408,-12.7204,2.45465,0.00404621,0.0534724
46,-292.204,232.508,-12.7268,2.45556,0.00642451,0.049768
47,-292.31,232.606,-12.7281,2.45637,0.00684784,0.0464335
