id,x,y,z,yaw,pitch,roll
1,-285.144,226.299,-12.6277,2.44841,0.0122336,0.0404098
2,-284.887,226.115,-12.6235,2.44865,0.012835,0.0412143
3,-285.344,226.51,-12.6194,2.4485,0.0113331,0.0364228
4,-285.585,226.71,-12.6402,2.44919,0.0101943,0.0354685
5,-285.81,226.916,-12.6297,2.45027,0.0100347,0.0315283
6,-286.012,227.109,-12.6259,2.45041,0.0102061,0.0307678
7,-286.2,227.289,-12.6421,2.44895,0.00975018,0.0324349
8,-286.42,227.469,-12.63,2.44996,0.00991552,0.0328254
9,-286.644,227.658,-12.6154,2.4514,0.00777434,0.0331088
10,-286.857,227.823,-12.6329,2.45135,0.0063345,0.0341309
11,-287.05,228.018,-12.6124,2.45172,0.0022654,0.0339211
12,-287.251,228.199,-12.59,2.45095,-0.00191778,0.0346019
13,-287.449,228.354,-12.6304,2.45113,-0.00462573,0.0373984
14,-287.649,228.505,-12.6488,2.45051,-0.00427999,0.0394494
15,-287.83,228.674,-12.6605,2.45089,-0.00239023,0.0402565
16,-287.984,228.818,-12.6583,2.45076,-0.0011865,0.0405107
17,-288.145,228.978,-12.6652,2.45067,-0.000988504,0.0397515
18,-288.345,229.127,-12.6919,2.45159,0.000594033,0.0414594
19,-288.537,229.279,-12.702,2.45223,0.0044098,0.0412107
20,-288.696,229.411,-12.6797,2.45258,0.00588774,0.0394829
21,-288.843,229.542,-12.676,2.45293,0.0066975,0.0356134
22,-289.01,229.69,-12.692,2.45378,0.00547509,0.0359098
23,-289.163,229.836,-12.704,2.45359,0.00536859,0.0374501
24,-289.322,229.954,-12.7027,2.45324,0.00930149,0.0391627
25,-289.466,230.069,-12.7117,2.45455,0.0115915,0.0420849
26,-289.614,230.2,-12.7109,2.45552,0.013987,0.0432114
27,-289.761,230.32,-12.7097,2.45547,0.0141241,0.0450498
28,-289.896,230.445,-12.7078,2.45429,0.0132673,0.0450435
29,-290.032,230.57,-12.6902,2.45537,0.011556,0.0455882
30,-290.168,230.695,-12.6937,2.45644,0.00927767,0.044135
31,-290.305,230.812,-12.6793,2.45639,0.00822746,0.0430915
32,-290.409,230.915,-12.6482,2.45726,0.00654844,0.0395049
33,-290.53,231.048,-12.6718,2.45642,0.00165801,0.0407814
34,-290.684,231.155,-12.6712,2.4561,-0.000555721,0.0405653
35,-290.811,231.293,-12.6029,2.45585,-0.00686277,0.0397031
36,-290.938,231.395,-12.6263,2.45475,-0.014453,0.0402576
37,-291.058,231.503,-12.6845,2.45458,-0.0159901,0.0397071
38,-291.172,231.589,-12.7207,2.45511,-0.00991268,0.0397342
39,-291.302,231.692,-12.7843,2.45591,-0.00103842,0.0415873
40,-291.399,231.801,-12.7374,2.45633,0.00511691,0.0414372
41,-291.553,231.926,-12.6963,2.45643,0.00252896,0.0424988
42,-291.667,232.031,-12.718,2.45486,-0.000195858,0.0471985
43,-291.794,232.115,-12.7529,2.45357,0.000132352,0.0527776
44,-291.926,232.242,-12.767,2.45309,0.00138511,0.05568
45,-292.053,232.342,-12.7511,2.45433,0.003917,0.0544015
46,-292.173,232.444,-12.732,2.45521,0.00668485,0.0505395
47,-292.291,232.53,-12.7395,2.4562,0.00747523,0.0463442
48,-292.409,232.653,-12.7465,2.45688,0.0057133,0.0466596
49,-292.52,232.768,-12.7534,2.45525,0.00430875,0.0484565
50,-292.628,232.853,-12.7733,2.45418,0.00428078,0.0488896
51,-292.754,232.923,-12.7697,2.45536,0.00579984,0.0506475
52,-292.868,233.05,-12.7574,2.4542,0.00602131,0.0510757
53,-292.979,233.144,-12.7673,2.45358,0.00636178,0.0487744
54,-293.131,233.266,-12.7726,2.45512,0.00922599,0.0484938
55,-293.23,233.358,-12.7667,2.45592,0.0109042,0.0491083
56,-293.368,233.496,-12.7268,2.45551,0.00793401,0.0465042
57,-293.501,233.614,-12.7516,2.45426,-0.000233935,0.0447855
58,-293.664,233.723,-12.8007,2.45459,-0.00370522,0.043875
59,-293.792,233.826,-12.7989,2.45692,-0.00179829,0.045557
60,-293.904,233.95,-12.7823,2.45767,-0.00280952,0.0475981
61,-294.027,234.066,-12.7612,2.45704,-0.00525633,0.0487649
62,-294.15,234.182,-12.7931,2.45543,-0.00656057,0.0495513
63,-294.291,234.303,-12.8141,2.45487,-0.00599595,0.0510896
64,-294.426,234.402,-12.7932,2.45538,-0.00591284,0.0518225
65,-294.544,234.525,-12.7933,2.45482,-0.00567592,0.0523845
66,-294.684,234.646,-12.7837,2.45408,-0.0045862,0.0501434
67,-294.807,234.776,-12.7914,2.45472,-0.0045665,0.0485304
68,-294.969,234.882,-12.788,2.45573,-0.00503084,0.0481201
69,-295.106,235.003,-12.7892,2.45481,-0.00503931,0.0478273
70,-295.22,235.1,-12.7928,2.45498,-0.00522661,0.048198
71,-295.36,235.231,-12.8069,2.4552,-0.00505713,0.0489019
72,-295.463,235.34,-12.7849,2.45375,-0.00535356,0.0481946
73,-295.596,235.47,-12.7794,2.45289,-0.00543858,0.0479414
74,-295.752,235.579,-12.7693,2.45329,-0.00594317,0.0485908
75,-295.903,235.685,-12.7953,2.45396,-0.00617632,0.0493393
76,-296.011,235.809,-12.7986,2.45321,-0.00595895,0.0492338
77,-296.142,235.936,-12.7806,2.45235,-0.0050914,0.0478011
78,-296.268,236.048,-12.7775,2.45228,-0.00544179,0.0453545
79,-296.399,236.161,-12.8043,2.45342,-0.00589117,0.044978
80,-296.567,236.302,-12.8211,2.45333,-0.00395258,0.0446534
81,-296.721,236.424,-12.8185,2.45367,-0.0032331,0.0448601
82,-296.843,236.537,-12.807,2.45378,-0.00138893,0.0465784
83,-296.982,236.671,-12.8031,2.45357,-0.00160219,0.0475914
84,-297.121,236.794,-12.8101,2.45339,-0.002074,0.0472686
85,-297.259,236.902,-12.8137,2.45351,-0.0010738,0.0471712
86,-297.398,237.045,-12.8224,2.45303,-0.000103872,0.0462367
87,-297.548,237.178,-12.8151,2.45329,0.000837604,0.0458393
88,-297.684,237.293,-12.8116,2.45375,-0.00115129,0.0454805
89,-297.827,237.406,-12.8194,2.45496,-0.00111778,0.0458193
90,-297.995,237.53,-12.8183,2.45468,-0.00169392,0.0456109
91,-298.141,237.662,-12.8314,2.45476,-0.00238308,0.0453794
92,-298.286,237.788,-12.8111,2.45527,-0.00308634,0.0441666
93,-298.404,237.914,-12.827,2.45569,-0.00303814,0.0437599
94,-298.552,238.025,-12.8299,2.45552,-0.00352487,0.0425257
95,-298.7,238.152,-12.8321,2.45497,-0.00404818,0.0421218
96,-298.868,238.293,-12.8208,2.4555,-0.00635031,0.0408732
97,-299.015,238.44,-12.8043,2.45666,-0.00779017,0.0398732
98,-299.161,238.553,-12.8043,2.45686,-0.00958672,0.0379488
99,-299.309,238.683,-12.8236,2.4579,-0.0105615,0.0369397
100,-299.445,238.824,-12.82,2.4576,-0.00922496,0.0358953
101,-299.588,238.948,-12.8379,2.45805,-0.00791019,0.035642
102,-299.75,239.074,-12.8485,2.45909,-0.00703727,0.0376438
103,-299.895,239.192,-12.8277,2.45872,-0.00604473,0.0405393
104,-300.043,239.311,-12.8145,2.4594,-0.00642859,0.0388932
105,-300.204,239.462,-12.8164,2.45976,-0.00724966,0.0366752
106,-300.361,239.611,-12.8287,2.46055,-0.00684668,0.0348264
107,-300.504,239.725,-12.8529,2.46133,-0.00591233,0.0344093
108,-300.658,239.839,-12.8523,2.46178,-0.00554218,0.0335966
109,-300.802,239.97,-12.8527,2.46269,-0.00490307,0.0309295
110,-300.99,240.105,-12.8552,2.46346,-0.00504233,0.0304373
111,-301.135,240.246,-12.8466,2.46366,-0.00587387,0.0292795
112,-301.272,240.376,-12.8418,2.46352,-0.00571219,0.0283657
113,-301.439,240.513,-12.8389,2.46393,-0.00416856,0.0263079
114,-301.596,240.639,-12.8309,2.46597,-0.00433038,0.0232829
115,-301.74,240.756,-12.819,2.46879,-0.00537701,0.021816
116,-301.925,240.898,-12.8172,2.47068,-0.00681461,0.0188699
117,-302.087,241.018,-12.8152,2.473,-0.00630226,0.0167508
118,-302.243,241.159,-12.8281,2.47472,-0.00594333,0.0173482
119,-302.396,241.286,-12.8296,2.47805,-0.0054776,0.0167055
