id,x,y,z,yaw,pitch,roll
1,-285.144,226.298,-12.6277,2.44841,0.0122336,0.0404098
2,-284.887,226.115,-12.6235,2.44865,0.012835,0.0412144
3,-285.344,226.511,-12.6183,2.4485,0.0113115,0.0363568
4,-285.586,226.71,-12.6405,2.44921,0.0101955,0.0354753
5,-285.81,226.916,-12.6297,2.45027,0.0100348,0.0315283
6,-286.013,227.11,-12.6258,2.45041,0.0102055,0.0307683
7,-286.2,227.289,-12.6421,2.44896,0.00974966,0.0324355
8,-286.42,227.469,-12.63,2.44996,0.00991553,0.0328254
9,-286.644,227.658,-12.6157,2.4514,0.00777721,0.0331087
10,-286.857,227.824,-12.6329,2.45136,0.00633276,0.0341263
11,-287.05,228.018,-12.6123,2.4517,0.00226448,0.0339178
12,-287.252,228.2,-12.5899,2.45095,-0.00191579,0.0345987
13,-287.449,228.353,-12.6301,2.45113,-0.00464556,0.0373815
14,-287.65,228.505,-12.6491,2.45051,-0.00427657,0.0394543
15,-287.83,228.674,-12.6605,2.45089,-0.00239028,0.0402563
16,-287.983,228.818,-12.6578,2.45076,-0.0011767,0.0404977
17,-288.145,228.978,-12.6665,2.45067,-0.00108076,0.0397728
18,-288.345,229.127,-12.6919,2.45159,0.000594046,0.0414593
19,-288.538,229.282,-12.6992,2.45222,0.00466965,0.0410834
20,-288.698,229.412,-12.6798,2.45258,0.00587636,0.0394764
21,-288.841,229.542,-12.6759,2.45301,0.00677147,0.0354167
22,-289.01,229.69,-12.6919,2.4538,0.0055025,0.0359077
23,-289.163,229.836,-12.704,2.45359,0.00536866,0.0374499
24,-289.322,229.954,-12.7027,2.45324,0.00929902,0.0391623
25,-289.466,230.069,-12.7113,2.45455,0.0116048,0.0420548
26,-289.614,230.201,-12.7109,2.45553,0.0139109,0.0432117
27,-289.762,230.32,-12.7097,2.45547,0.0141171,0.0450511
28,-289.896,230.445,-12.7078,2.45429,0.0132673,0.0450433
29,-290.032,230.57,-12.6902,2.45537,0.011556,0.045588
30,-290.168,230.695,-12.6939,2.45645,0.00927052,0.0441295
31,-290.305,230.812,-12.6793,2.45639,0.00822749,0.0430914
32,-290.409,230.915,-12.6481,2.45726,0.0065506,0.0395045
33,-290.53,231.048,-12.6718,2.45642,0.00165809,0.0407813
34,-290.684,231.154,-12.6712,2.45611,-0.000555414,0.0405644
35,-290.811,231.293,-12.6032,2.45585,-0.00686948,0.0397097
36,-290.938,231.395,-12.6263,2.45475,-0.014453,0.0402574
37,-291.057,231.502,-12.6846,2.45458,-0.0159882,0.0397132
38,-291.172,231.589,-12.7207,2.45511,-0.00991264,0.039734
39,-291.302,231.692,-12.7843,2.45591,-0.00103837,0.0415871
40,-291.399,231.801,-12.7374,2.45633,0.00511703,0.0414369
41,-291.553,231.926,-12.6963,2.45643,0.00252905,0.0424987
42,-291.667,232.03,-12.7181,2.45486,-0.000197454,0.0471986
43,-291.793,232.115,-12.7526,2.45357,0.000122799,0.0527897
44,-291.925,232.242,-12.7675,2.45309,0.00140418,0.0556394
45,-292.053,232.342,-12.7511,2.45433,0.00391707,0.0544014
46,-292.172,232.444,-12.732,2.45521,0.00668562,0.050541
47,-292.291,232.53,-12.7395,2.4562,0.0074753,0.0463439
48,-292.41,232.654,-12.7463,2.45687,0.00571219,0.0466559
49,-292.52,232.768,-12.7533,2.45525,0.00430881,0.0484562
50,-292.628,232.853,-12.7736,2.45418,0.00428778,0.0489118
51,-292.754,232.923,-12.7696,2.45536,0.00579972,0.050647
52,-292.867,233.049,-12.7578,2.45418,0.00602984,0.0510758
53,-292.979,233.144,-12.7673,2.45358,0.00636187,0.0487742
54,-293.131,233.266,-12.7726,2.45512,0.00922438,0.0484917
55,-293.229,233.358,-12.7663,2.45592,0.0109315,0.0490982
56,-293.367,233.494,-12.7267,2.45553,0.00793597,0.046511
57,-293.501,233.613,-12.752,2.45426,-0.000235361,0.0447904
58,-293.665,233.723,-12.8007,2.45458,-0.0037058,0.0438769
59,-293.792,233.826,-12.7989,2.45692,-0.00179779,0.0455564
60,-293.904,233.95,-12.7823,2.45767,-0.00280971,0.0476001
61,-294.028,234.066,-12.7606,2.45706,-0.00527894,0.0487593
62,-294.15,234.182,-12.7931,2.45543,-0.00656043,0.0495511
63,-294.291,234.303,-12.8141,2.45487,-0.00599586,0.0510894
64,-294.426,234.403,-12.7931,2.45538,-0.00591508,0.0518241
65,-294.543,234.526,-12.7938,2.4548,-0.00566785,0.0523875
66,-294.683,234.644,-12.785,2.45405,-0.00435502,0.0502227
67,-294.807,234.775,-12.7914,2.45471,-0.00456639,0.0485302
68,-294.969,234.882,-12.7881,2.45573,-0.00503228,0.048121
69,-295.106,235.003,-12.7892,2.4548,-0.00503921,0.0478271
70,-295.22,235.099,-12.7932,2.45493,-0.00524343,0.0482154
71,-295.36,235.231,-12.8069,2.4552,-0.00505769,0.0489028
72,-295.462,235.34,-12.7849,2.45375,-0.00535344,0.0481945
73,-295.596,235.471,-12.7784,2.45288,-0.00547748,0.0479252
74,-295.752,235.579,-12.7693,2.45329,-0.00594676,0.04859
75,-295.902,235.685,-12.7954,2.45395,-0.00620122,0.0493562
76,-296.011,235.809,-12.7986,2.45321,-0.00595881,0.0492337
77,-296.142,235.936,-12.7806,2.45235,-0.00509011,0.0477995
78,-296.268,236.048,-12.7787,2.45228,-0.0054788,0.0453373
79,-296.399,236.161,-12.8043,2.45342,-0.0058911,0.0449779
80,-296.568,236.302,-12.8211,2.45335,-0.00394769,0.044651
81,-296.721,236.424,-12.8185,2.45366,-0.00323055,0.0448604
82,-296.843,236.537,-12.807,2.45378,-0.00138879,0.0465782
83,-296.982,236.671,-12.8031,2.45357,-0.00160207,0.0475913
84,-297.121,236.794,-12.8101,2.45339,-0.00207379,0.0472684
85,-297.259,236.902,-12.8137,2.4535,-0.00107423,0.0471711
86,-297.398,237.045,-12.8224,2.45303,-0.000103717,0.0462365
87,-297.549,237.178,-12.8151,2.45328,0.000837861,0.045837
88,-297.684,237.293,-12.8116,2.45374,-0.0011498,0.0454798
89,-297.826,237.406,-12.8194,2.45496,-0.00111763,0.0458191
90,-297.995,237.53,-12.8183,2.45468,-0.0016931,0.0456104
91,-298.141,237.662,-12.8315,2.45476,-0.00238455,0.0453809
92,-298.286,237.788,-12.8111,2.45527,-0.00308692,0.0441667
93,-298.413,237.92,-12.8274,2.45564,-0.00296084,0.0437013
94,-298.552,238.025,-12.8298,2.45552,-0.00352017,0.0425389
95,-298.7,238.152,-12.8316,2.45497,-0.00400379,0.0421084
96,-298.868,238.293,-12.8208,2.4555,-0.0063501,0.0408731
97,-299.015,238.44,-12.8043,2.45665,-0.00779318,0.0398745
98,-299.161,238.553,-12.8043,2.45686,-0.0095865,0.0379488
99,-299.309,238.683,-12.8236,2.45789,-0.0105612,0.0369396
100,-299.445,238.824,-12.82,2.4576,-0.00922472,0.0358953
101,-299.588,238.948,-12.8377,2.45805,-0.00792085,0.035642
102,-299.75,239.074,-12.8485,2.45909,-0.00703725,0.0376432
103,-299.895,239.192,-12.8276,2.45872,-0.00604847,0.0405395
104,-300.043,239.312,-12.8147,2.4594,-0.00643037,0.038845
105,-300.204,239.462,-12.8163,2.45976,-0.00724928,0.0366746
106,-300.361,239.611,-12.8287,2.46055,-0.00684639,0.0348264
107,-300.504,239.724,-12.8529,2.46132,-0.00590996,0.0344139
108,-300.658,239.839,-12.8526,2.46178,-0.00555036,0.0336045
109,-300.802,239.97,-12.8527,2.46269,-0.00490288,0.0309294
110,-300.99,240.105,-12.8552,2.46345,-0.00503789,0.0304361
111,-301.135,240.246,-12.8465,2.46366,-0.0058737,0.0292794
112,-301.272,240.376,-12.8418,2.46351,-0.00571195,0.0283652
113,-301.44,240.514,-12.8389,2.46394,-0.00418855,0.0263113
114,-301.596,240.639,-12.831,2.46597,-0.00431208,0.0232542
115,-301.74,240.756,-12.819,2.46879,-0.00537686,0.021816
116,-301.925,240.898,-12.8172,2.47068,-0.00681437,0.0188698
