id,x,y,z,yaw,pitch,roll
1,-285.144,226.299,-12.628,2.4484,0.0122453,0.0403397
2,-284.887,226.115,-12.6235,2.44864,0.012835,0.0412143
3,-285.344,226.51,-12.6189,2.44849,0.0113043,0.0364093
4,-285.588,226.71,-12.6405,2.4492,0.0101841,0.0355187
5,-285.81,226.917,-12.6298,2.45026,0.0100377,0.0315092
6,-286.012,227.109,-12.6259,2.45041,0.0102061,0.0307679
7,-286.2,227.289,-12.6421,2.44895,0.00974965,0.0324356
8,-286.42,227.469,-12.63,2.44996,0.00991552,0.0328255
9,-286.644,227.658,-12.6157,2.4514,0.00777724,0.0331089
10,-286.855,227.822,-12.6332,2.45135,0.00636287,0.0340409
11,-287.05,228.018,-12.6122,2.45169,0.00226453,0.033918
12,-287.251,228.2,-12.59,2.45094,-0.00191774,0.0346021
13,-287.448,228.353,-12.6298,2.45112,-0.00464936,0.03738
14,-287.649,228.505,-12.6486,2.45051,-0.00427049,0.0394492
15,-287.83,228.675,-12.6603,2.45089,-0.0023965,0.0402537
16,-287.983,228.818,-12.6577,2.45076,-0.00117466,0.0404954
17,-288.145,228.978,-12.6665,2.45066,-0.00108488,0.0397783
18,-288.345,229.127,-12.6919,2.45158,0.000593737,0.041461
19,-288.538,229.28,-12.6992,2.45224,0.00466518,0.0410587
20,-288.696,229.411,-12.6797,2.45258,0.00588781,0.0394831
21,-288.844,229.542,-12.6759,2.45292,0.00669176,0.0356525
22,-289.011,229.69,-12.6919,2.45378,0.00546934,0.035911
23,-289.162,229.836,-12.704,2.45362,0.00538158,0.0374425
24,-289.322,229.954,-12.7033,2.45324,0.00931443,0.039183
25,-289.467,230.069,-12.7113,2.45454,0.0116077,0.0420411
26,-289.613,230.201,-12.7112,2.45553,0.0140688,0.0430865
27,-289.761,230.32,-12.7105,2.45547,0.0141464,0.045046
28,-289.896,230.445,-12.7078,2.45428,0.0132673,0.0450435
29,-290.032,230.57,-12.6903,2.45537,0.0115501,0.0455737
30,-290.168,230.696,-12.6937,2.45646,0.00926998,0.044133
31,-290.305,230.812,-12.6793,2.45634,0.00821206,0.0431792
