id,x,y,z,yaw,pitch,roll
1,1772.64,866.452,0,0.0193733,-0.0028138,-0.0194244
2,1772.66,866.461,0,0.019552,-0.00316739,-0.0199203
3,1772.88,866.469,0,0.0193233,-0.00418944,-0.0211741
4,1773.29,866.437,0,0.0190315,-0.00291557,-0.0265808
5,1773.8,866.423,0,0.0195396,-0.000495703,-0.0305307
6,1774.17,866.422,0,0.0195464,-0.000333984,-0.0306799
7,1774.53,866.426,0,0.0197442,-0.00145618,-0.0307704
8,1774.95,866.432,0,0.0198314,-0.00355539,-0.0317672
9,1775.33,866.433,0,0.0196557,-0.00333202,-0.0319503
10,1775.71,866.436,0,0.0197711,-0.00324194,-0.032241
11,1776.09,866.458,0,0.0195039,-0.00387933,-0.0317796
12,1776.89,866.461,0,0.0204859,-0.00578542,-0.0294656
13,1777.56,866.462,0,0.0210594,-0.00744117,-0.0293798
14,1777.68,866.451,0,0.0206061,-0.00804612,-0.0312041
15,1777.85,866.454,0,0.0203899,-0.0088774,-0.0332336
16,1778.26,866.455,0,0.0201498,-0.00879453,-0.0321208
17,1778.68,866.453,0,0.0202364,-0.00864269,-0.0317143
18,1779.06,866.474,0,0.020303,-0.00676461,-0.0312974
19,1779.34,866.478,0,0.020353,-0.00595447,-0.0308526
20,1779.7,866.477,0,0.0206715,-0.00620034,-0.0321204
21,1780.11,866.482,0,0.021036,-0.00730961,-0.0332662
22,1780.46,866.492,0,0.0203452,-0.00656143,-0.0333128
23,1780.86,866.503,0,0.0201304,-0.00564746,-0.0336036
24,1781.26,866.518,0,0.020619,-0.00573095,-0.0331639
25,1781.67,866.514,0,0.0207462,-0.00521352,-0.0328013
26,1782.3,866.532,0,0.0207882,-0.00455109,-0.0335407
27,1782.73,866.534,0,0.0206638,-0.0044191,-0.032878
28,1783.13,866.535,0,0.0207113,-0.00463516,-0.0326415
29,1783.52,866.536,0,0.0210194,-0.00492954,-0.0324774
30,1783.83,866.54,0,0.0213986,-0.00600186,-0.031891
31,1784.22,866.544,0,0.0219702,-0.0057608,-0.0318701
32,1784.63,866.562,0,0.0222251,-0.00479576,-0.0311858
33,1785.11,866.572,0,0.0224248,-0.00452562,-0.0315832
34,1785.55,866.583,0,0.0227014,-0.00518807,-0.031002
35,1785.99,866.589,0,0.0230043,-0.00510481,-0.029971
36,1786.39,866.6,0,0.0235776,-0.00570716,-0.0297422
37,1786.81,866.594,0,0.02373,-0.00472541,-0.0311088
38,1787.22,866.588,0,0.0245184,-0.00419384,-0.0340361
39,1787.63,866.571,0,0.0241655,-0.00315959,-0.0353645
40,1787.95,866.576,0,0.0247229,-0.00184929,-0.0355557
41,1788.33,866.575,0,0.0251451,-0.00251842,-0.0359828
42,1788.76,866.585,0,0.0259461,-0.00316475,-0.0376524
43,1789.17,866.6,0,0.0263543,-0.00315436,-0.0382948
44,1789.6,866.615,0,0.0269613,-0.00339797,-0.0391128
45,1790.01,866.631,0,0.027334,-0.0034446,-0.0395132
46,1790.38,866.647,0,0.0287792,-0.00417266,-0.0408991
47,1790.81,866.646,0,0.0287048,-0.00478965,-0.0405429
48,1791.22,866.654,0,0.0289969,-0.0050953,-0.0400399
49,1791.65,866.66,0,0.0293544,-0.00541742,-0.0397887
50,1792.22,866.665,0,0.0295722,-0.00691012,-0.0408221
51,1792.67,866.678,0,0.0300081,-0.00749002,-0.0406886
52,1793.14,866.669,0,0.0302711,-0.00800939,-0.0403884
53,1793.52,866.689,0,0.0304788,-0.00781757,-0.0387797
54,1794.33,866.671,0,0.0311597,-0.00759839,-0.0396921
55,1794.94,866.677,0,0.0315046,-0.00779136,-0.0396922
56,1795.63,866.728,0,0.0327074,-0.00640683,-0.037362
57,1796.02,866.722,0,0.0327221,-0.0062737,-0.0371996
58,1796.41,866.714,0,0.0326568,-0.00643527,-0.0367157
59,1796.69,866.627,0,0.0335368,-0.00599843,-0.0378677
60,1797.08,866.642,0,0.0335553,-0.00607736,-0.0377964
61,1797.52,866.667,0,0.0340435,-0.00575616,-0.0376522
62,1797.91,866.677,0,0.0343541,-0.00497927,-0.0373487
63,1798.3,866.696,0,0.0344758,-0.00474713,-0.0373394
64,1798.71,866.709,0,0.0353436,-0.0051044,-0.0375905
65,1799.09,866.732,0,0.036169,-0.0052887,-0.0379838
66,1799.44,866.758,0,0.0367799,-0.00761033,-0.0391865
67,1799.78,866.774,0,0.0375692,-0.00810928,-0.0383184
