id,x,y,z,yaw,pitch,roll
1,1772.64,866.452,0,0.0193733,-0.0028138,-0.0194244
2,1772.65,866.459,0,0.0193739,-0.00390104,-0.0200421
3,1772.92,866.462,0,0.0189954,-0.0049776,-0.0226679
4,1773.07,866.446,0,0.0199268,-0.00459029,-0.023354
5,1773.57,866.423,0,0.0196387,-0.00339291,-0.0298747
6,1774.05,866.437,0,0.0192125,-0.0013861,-0.0304838
7,1774.41,866.425,0,0.0198644,-0.00227582,-0.0318638
8,1774.8,866.426,0,0.0197636,-0.00294632,-0.0321548
9,1775.17,866.429,0,0.0197972,-0.00328033,-0.0324472
10,1775.56,866.425,0,0.0198513,-0.0037421,-0.0326594
11,1775.96,866.459,0,0.019417,-0.00475087,-0.0317673
12,1776.62,866.467,0,0.0201954,-0.00814291,-0.0310453
13,1777.38,866.458,0,0.0204034,-0.00809101,-0.0302248
14,1777.47,866.456,0,0.0203599,-0.00792452,-0.0316751
15,1777.85,866.458,0,0.020596,-0.00809098,-0.0330658
16,1778.25,866.462,0,0.0203591,-0.00826333,-0.0317958
17,1778.64,866.46,0,0.0204627,-0.0080789,-0.0313399
18,1779.03,866.486,0,0.0204752,-0.00667945,-0.0309299
19,1779.35,866.49,0,0.0203495,-0.00621987,-0.0304348
20,1779.66,866.488,0,0.0207486,-0.00616077,-0.0315149
21,1780.04,866.48,0,0.0210142,-0.00668844,-0.032249
22,1780.45,866.494,0,0.020707,-0.00701805,-0.0330236
23,1780.84,866.5,0,0.0206443,-0.00665673,-0.0335221
24,1781.18,866.529,0,0.0206118,-0.00673964,-0.0322767
25,1781.59,866.518,0,0.0211308,-0.00543203,-0.0326826
26,1782.22,866.531,0,0.0211394,-0.00488158,-0.0331465
27,1782.73,866.533,0,0.020877,-0.00454111,-0.0329491
28,1783.12,866.536,0,0.020874,-0.00477593,-0.0327131
29,1783.41,866.537,0,0.0213898,-0.00513022,-0.0324859
30,1783.82,866.534,0,0.0216105,-0.00536235,-0.032803
31,1784.16,866.542,0,0.022141,-0.00484922,-0.0321615
32,1784.65,866.568,0,0.0226235,-0.00407873,-0.0310883
33,1785.18,866.578,0,0.0228901,-0.00408092,-0.0311835
34,1785.61,866.588,0,0.0230993,-0.00508201,-0.0309765
35,1786.04,866.591,0,0.0236673,-0.00524091,-0.0294077
36,1786.45,866.608,0,0.0237682,-0.00486219,-0.0286763
37,1786.87,866.608,0,0.023941,-0.00431111,-0.02997
38,1787.27,866.582,0,0.0246767,-0.00327332,-0.0352103
39,1787.64,866.574,0,0.0246737,-0.00208085,-0.035726
40,1788.05,866.579,0,0.0250294,-0.00224276,-0.0357177
41,1788.37,866.578,0,0.0255228,-0.00296531,-0.0360815
42,1788.78,866.59,0,0.0257996,-0.00310029,-0.0364673
43,1789.19,866.604,0,0.0268455,-0.00329133,-0.0379088
44,1789.6,866.62,0,0.0269671,-0.00316516,-0.0381503
45,1789.99,866.638,0,0.0282335,-0.00237795,-0.0392199
46,1790.37,866.652,0,0.0292273,-0.00294494,-0.0401804
47,1790.79,866.654,0,0.0293078,-0.00324489,-0.0405442
48,1791.22,866.656,0,0.0296213,-0.00347538,-0.0401303
49,1791.66,866.662,0,0.0305073,-0.00457264,-0.039724
50,1792.08,866.672,0,0.0304626,-0.0048997,-0.0398857
51,1792.47,866.685,0,0.0305255,-0.0057244,-0.0402276
52,1792.96,866.666,0,0.0309329,-0.00825584,-0.0405704
53,1793.41,866.684,0,0.0309395,-0.0088865,-0.0396782
54,1794.22,866.672,0,0.0311367,-0.00709452,-0.0399288
55,1795,866.684,0,0.0314007,-0.00771936,-0.0397588
56,1795.63,866.723,0,0.0326912,-0.00626808,-0.0377279
57,1795.79,866.703,0,0.0323084,-0.0056699,-0.0375774
58,1796.12,866.692,0,0.0334249,-0.00584564,-0.0367516
59,1796.53,866.709,0,0.0335129,-0.00586272,-0.0368058
60,1796.91,866.725,0,0.0335662,-0.00618536,-0.0371399
61,1797.29,866.718,0,0.0345201,-0.00597075,-0.0377746
62,1797.65,866.696,0,0.0347497,-0.00455753,-0.0384106
63,1798.04,866.71,0,0.0349536,-0.00442616,-0.0380326
64,1798.4,866.735,0,0.0359654,-0.00632003,-0.0381321
65,1798.79,866.715,0,0.0368446,-0.00596094,-0.0382765
66,1799.22,866.759,0,0.0377006,-0.005668,-0.038516
67,1799.63,866.772,0,0.0382285,-0.00740876,-0.0387505
68,1800.01,866.798,0,0.038046,-0.00666553,-0.0374963
