id,x,y,z,yaw,pitch,roll
1,1772.64,866.452,0,0.0193733,-0.0028138,-0.0194244
2,1772.66,866.461,0,0.0195493,-0.00317808,-0.0199324
3,1772.71,866.456,0,0.0197904,-0.00392771,-0.0207313
4,1773,866.433,0,0.0203522,-0.00254842,-0.0210602
5,1773.41,866.414,0,0.01972,-0.000410821,-0.028862
6,1773.48,866.403,0,0.0208692,0.000801519,-0.030323
7,1773.74,866.352,0,0.0231642,0.000346274,-0.0319547
8,1774.01,866.35,0,0.022513,0.000368167,-0.0322273
9,1775.17,866.429,0,0.0197731,-0.00328347,-0.032355
10,1775.2,866.427,0,0.0197546,-0.0031525,-0.0322691
11,1775.69,866.432,0,0.0198316,-0.00458539,-0.0325967
12,1775.91,866.432,0,0.0206288,-0.00455095,-0.0314884
13,1776.33,866.429,0,0.0214951,-0.00600828,-0.0317204
14,1776.35,866.417,0,0.0217762,-0.00600796,-0.0321551
15,1776.52,866.382,0,0.0235549,-0.00627311,-0.034844
16,1776.56,866.384,0,0.0230444,-0.00598048,-0.0342944
17,1776.71,866.39,0,0.022686,-0.00617751,-0.033065
18,1776.81,866.382,0,0.0225246,-0.00594891,-0.0333827
19,1777.04,866.385,0,0.0223129,-0.00630405,-0.0331062
20,1777.05,866.386,0,0.0225033,-0.00619264,-0.0332603
21,1777.28,866.392,0,0.0235545,-0.00534148,-0.029736
22,1777.3,866.392,0,0.0231477,-0.00481876,-0.0292767
23,1777.26,866.4,0,0.0237324,-0.00412757,-0.0270465
24,1777.2,866.381,0,0.0228482,-0.00228144,-0.0271341
25,1777.19,866.389,0,0.0224464,-0.0022148,-0.0280647
26,1777.32,866.393,0,0.0223437,-0.00243982,-0.0289883
27,1777.6,866.387,0,0.0224839,-0.0014681,-0.0291144
28,1777.61,866.375,0,0.0226227,-0.00150119,-0.0292797
29,1777.61,866.364,0,0.0235198,-0.0010964,-0.0289411
30,1777.64,866.373,0,0.0236262,-0.00159346,-0.0292138
31,1777.94,866.362,0,0.0255461,-0.00203756,-0.0262681
32,1778.24,866.367,0,0.0245661,-0.00306111,-0.0272933
33,1778.25,866.362,0,0.0245553,-0.00304464,-0.0275117
34,1778.27,866.342,0,0.0244206,-0.00270622,-0.028386
35,1778.33,866.308,0,0.0245008,-0.00335153,-0.0314001
36,1778.35,866.304,0,0.0250526,-0.00332807,-0.0327101
37,1778.37,866.304,0,0.0247186,-0.00113127,-0.035577
38,1778.44,866.298,0,0.0249921,0.000992556,-0.0372495
39,1778.43,866.298,0,0.0248881,0.000923235,-0.0373074
40,1778.5,866.313,0,0.0250184,0.0013361,-0.0360651
41,1778.74,866.314,0,0.0265422,0.00144431,-0.0358049
42,1779.07,866.319,0,0.0276834,0.00210349,-0.0362116
43,1779.17,866.314,0,0.0279721,0.00166065,-0.0362549
44,1779.52,866.316,0,0.0282067,0.000500519,-0.0374569
45,1779.75,866.316,0,0.0293242,0.000413901,-0.0380972
46,1779.86,866.312,0,0.0291352,0.000401915,-0.0376077
47,1779.9,866.283,0,0.0298075,0.000553654,-0.0373726
48,1779.91,866.252,0,0.0306424,-0.000408103,-0.0372051
49,1780.14,866.271,0,0.0313122,-0.00255281,-0.0371318
50,1780.18,866.265,0,0.0312904,-0.00296684,-0.0377644
51,1780.19,866.269,0,0.0315255,-0.00329598,-0.0379804
52,1780.23,866.265,0,0.0320064,-0.0051251,-0.0380925
53,1780.23,866.265,0,0.0320762,-0.00538318,-0.038017
54,1780.34,866.287,0,0.032759,-0.00705047,-0.0371399
55,1780.37,866.276,0,0.0333758,-0.0071444,-0.0360467
56,1780.44,866.265,0,0.0342451,-0.00619521,-0.0358348
57,1780.64,866.275,0,0.0350968,-0.00605224,-0.0338617
58,1780.66,866.276,0,0.0351823,-0.00605448,-0.033506
