id,x,y,z,yaw,pitch,roll
1,1716.99,1014.76,0,-2.19125,-0.0466672,0.0183816
2,1716.76,1014.49,0,-2.19209,-0.0339618,0.0119564
3,1716.57,1014.24,0,-2.19494,-0.0238388,0.00603469
4,1716.4,1013.93,0,-2.19351,-0.0199101,0.0046767
5,1716.17,1013.61,0,-2.19547,-0.0179209,-0.00167043
6,1715.96,1013.26,0,-2.19697,-0.0220884,-0.00388949
7,1715.73,1012.95,0,-2.19762,-0.0258199,-0.00359048
8,1715.56,1012.68,0,-2.19896,-0.0286605,-0.00098343
9,1715.33,1012.36,0,-2.19959,-0.0304472,0.00180496
10,1715.11,1012.07,0,-2.20001,-0.031435,0.00277126
11,1714.92,1011.83,0,-2.20066,-0.0315458,0.000875662
12,1714.67,1011.44,0,-2.19926,-0.0317673,0.00223789
13,1714.43,1011.09,0,-2.19946,-0.0309755,0.00473139
14,1714.24,1010.83,0,-2.20048,-0.0302722,0.00438581
15,1714.05,1010.59,0,-2.20148,-0.0296171,0.00428684
16,1713.83,1010.21,0,-2.20041,-0.0280241,0.00834275
17,1713.64,1009.96,0,-2.2014,-0.0253685,0.00468058
18,1713.45,1009.7,0,-2.2017,-0.0258441,0.00472441
19,1713.21,1009.4,0,-2.20203,-0.0258795,0.00362951
20,1713.01,1009.12,0,-2.20251,-0.0270939,0.00279752
21,1712.82,1008.88,0,-2.20342,-0.0261828,0.000270768
22,1712.62,1008.62,0,-2.20483,-0.0277019,-0.000561589
23,1712.37,1008.28,0,-2.20402,-0.0281303,-0.000659173
24,1712.18,1008.05,0,-2.20456,-0.0280165,-0.00142351
25,1711.85,1007.63,0,-2.20212,-0.029123,-0.00369239
26,1711.63,1007.35,0,-2.20236,-0.0286082,-0.00615958
27,1711.49,1007.14,0,-2.20267,-0.0267459,-0.00554914
28,1711.37,1006.97,0,-2.20404,-0.0242799,-0.00713836
29,1711.18,1006.71,0,-2.20428,-0.0237754,-0.00708563
30,1710.87,1006.27,0,-2.2015,-0.0244077,-0.00662254
31,1710.79,1006.11,0,-2.20295,-0.0244814,-0.00765922
32,1710.69,1005.98,0,-2.20531,-0.0253685,-0.00576861
33,1710.56,1005.77,0,-2.20457,-0.0210817,-0.00569745
34,1710.36,1005.48,0,-2.20324,-0.0172397,-0.00858144
35,1710.09,1005.16,0,-2.20005,-0.0159719,-0.0122734
36,1709.89,1004.85,0,-2.19889,-0.0164025,-0.0110875
37,1709.77,1004.62,0,-2.19776,-0.0140965,-0.00607906
38,1709.6,1004.4,0,-2.19561,-0.0109455,0.00228329
39,1709.43,1004.09,0,-2.19433,-0.0142954,0.00480074
40,1709.21,1003.8,0,-2.1928,-0.0111064,0.00430024
41,1708.97,1003.48,0,-2.18876,-0.0100446,0.00260079
42,1708.68,1003.05,0,-2.18713,-0.0109342,0.00270484
43,1708.57,1002.89,0,-2.18746,-0.010837,0.00294235
44,1708.41,1002.64,0,-2.18626,-0.010846,0.00296261
45,1708.27,1002.39,0,-2.18593,-0.0109178,0.00338713
46,1707.91,1001.98,0,-2.18108,-0.013236,0.00219868
47,1707.75,1001.77,0,-2.17988,-0.0131084,0.00284626
48,1707.6,1001.55,0,-2.17793,-0.012452,0.00530694
49,1707.44,1001.35,0,-2.17697,-0.0125504,0.00571545
50,1707.34,1001.17,0,-2.17538,-0.0121589,0.00689893
51,1707.22,1000.98,0,-2.17437,-0.0120024,0.0081167
52,1707.1,1000.75,0,-2.17361,-0.0115029,0.0101166
53,1706.96,1000.51,0,-2.17124,-0.0111741,0.0132561
54,1706.8,1000.3,0,-2.16923,-0.0111649,0.014093
55,1706.57,999.981,0,-2.16614,-0.0130851,0.0122194
56,1706.34,999.663,0,-2.1628,-0.0143164,0.0117601
57,1706.24,999.511,0,-2.15965,-0.0100174,0.00652092
58,1706.11,999.311,0,-2.15725,-0.00763529,0.00244834
59,1705.96,999.062,0,-2.15477,-0.00743667,0.00228743
60,1705.74,998.772,0,-2.14955,-0.00810821,-0.00362154
61,1705.59,998.55,0,-2.14813,-0.00866558,-0.00454903
62,1705.45,998.33,0,-2.14645,-0.00836109,-0.0048767
63,1705.31,998.134,0,-2.14454,-0.00828314,-0.00616566
64,1705.18,997.932,0,-2.14276,-0.0090425,-0.00767695
65,1705.03,997.709,0,-2.14167,-0.00952694,-0.00868781
66,1704.9,997.487,0,-2.14078,-0.00952429,-0.00776153
67,1704.76,997.272,0,-2.13993,-0.0104411,-0.00493128
68,1704.61,997.01,0,-2.13753,-0.0129143,-0.00148438
69,1704.47,996.803,0,-2.13618,-0.0136581,-0.000430456
70,1704.31,996.543,0,-2.13373,-0.0137666,-0.000846483
71,1704.15,996.294,0,-2.1311,-0.0135158,-0.00290364
72,1703.94,995.977,0,-2.12867,-0.0141701,-0.00383763
73,1703.73,995.689,0,-2.12714,-0.01462,-0.00640362
74,1703.6,995.489,0,-2.12546,-0.013735,-0.0116686
75,1703.48,995.256,0,-2.12509,-0.014245,-0.0110635
76,1703.32,995.011,0,-2.12382,-0.0153638,-0.0108206
77,1703.1,994.594,0,-2.11969,-0.0184274,-0.00933031
78,1702.95,994.342,0,-2.11907,-0.0194024,-0.0078712
79,1702.72,994.017,0,-2.11754,-0.0231117,-0.00588252
