id,x,y,z,yaw,pitch,roll
1,1716.99,1014.76,0,-2.19126,-0.046668,0.018369
2,1716.76,1014.49,0,-2.19209,-0.0339546,0.0119345
3,1716.57,1014.25,0,-2.19506,-0.0234149,0.00591348
4,1716.39,1013.93,0,-2.1935,-0.0199013,0.0046726
5,1716.17,1013.61,0,-2.19549,-0.0182522,-0.00119538
6,1715.96,1013.26,0,-2.197,-0.0220622,-0.00388787
7,1715.73,1012.95,0,-2.19758,-0.0258273,-0.00357912
8,1715.55,1012.68,0,-2.19892,-0.0287595,-0.000837474
9,1715.34,1012.36,0,-2.19963,-0.030271,0.00159839
10,1715.11,1012.07,0,-2.19994,-0.0313074,0.00265465
11,1714.91,1011.83,0,-2.20057,-0.0315051,0.000940697
12,1714.67,1011.44,0,-2.19921,-0.0318078,0.00223558
13,1714.42,1011.09,0,-2.1993,-0.0309275,0.00491839
14,1714.24,1010.83,0,-2.20039,-0.0304932,0.00447539
15,1714.04,1010.59,0,-2.20142,-0.0298004,0.00430535
16,1713.83,1010.21,0,-2.20041,-0.0280103,0.00832192
17,1713.64,1009.96,0,-2.20144,-0.0252677,0.00463272
18,1713.45,1009.7,0,-2.20158,-0.0255798,0.00461096
19,1713.21,1009.41,0,-2.20203,-0.0255309,0.00324386
20,1713.01,1009.12,0,-2.20223,-0.0262127,0.00214349
21,1712.81,1008.87,0,-2.20311,-0.0258245,-0.000132553
22,1712.61,1008.61,0,-2.20453,-0.0276255,-0.000779918
23,1712.37,1008.28,0,-2.20408,-0.0280778,-0.000653092
24,1712.18,1008.04,0,-2.20452,-0.0280219,-0.00137146
25,1711.85,1007.63,0,-2.20211,-0.0290926,-0.00484468
26,1711.64,1007.35,0,-2.2023,-0.0284806,-0.00619562
27,1711.5,1007.14,0,-2.20278,-0.0264823,-0.00549115
28,1711.38,1006.96,0,-2.20416,-0.023813,-0.00692845
29,1711.18,1006.7,0,-2.2042,-0.0234473,-0.00682266
30,1710.87,1006.27,0,-2.20142,-0.0237748,-0.00713527
31,1710.79,1006.12,0,-2.20295,-0.0240457,-0.00811775
32,1710.68,1005.96,0,-2.20473,-0.0240133,-0.00699521
33,1710.56,1005.76,0,-2.20435,-0.0209109,-0.00600833
34,1710.36,1005.47,0,-2.20318,-0.0172918,-0.00869849
35,1710.09,1005.16,0,-2.2001,-0.0156463,-0.0119668
36,1709.89,1004.85,0,-2.1989,-0.0162268,-0.0108585
37,1709.77,1004.62,0,-2.19772,-0.0138775,-0.00578401
38,1709.6,1004.4,0,-2.19567,-0.0107984,0.00258767
39,1709.44,1004.1,0,-2.19438,-0.0122351,0.0049515
40,1709.2,1003.78,0,-2.19228,-0.0104474,0.00419546
41,1708.97,1003.48,0,-2.18864,-0.00974433,0.00258146
