id,x,y,z,yaw,pitch,roll
1,1716.95,1014.62,0,-2.18676,-0.0322662,0.0375431
2,1717.56,1015.67,0,-2.20909,-0.0162939,0.0339398
3,1717.63,1015.65,0,-2.2179,-0.00506148,0.027329
4,1717.86,1015.66,0,-2.23035,0.000111201,0.0264957
5,1716.14,1013.77,0,-2.19646,-0.00844213,0.0209823
6,1716.08,1013.71,0,-2.20234,-0.0116479,0.0117466
7,1716.07,1013.7,0,-2.20822,-0.0161466,0.0130365
8,1715.81,1013.25,0,-2.20685,-0.0178885,0.0204524
9,1715.45,1013.03,0,-2.20371,-0.0190572,0.0198443
10,1716.02,1013.66,0,-2.22538,-0.0181835,0.0193661
11,1716,1012.5,0,-2.21756,-0.0182854,0.040071
12,1715.43,1012.99,0,-2.21966,-0.0174663,0.0261435
13,1713.98,1011.66,0,-2.18759,-0.024905,0.0273669
14,1714.12,1010.62,0,-2.19639,-0.0224279,0.0329281
15,1713.95,1010.2,0,-2.19595,-0.0213856,0.03444
16,1713.96,1010.26,0,-2.20154,-0.0198646,0.0353226
17,1714.55,1009.65,0,-2.19796,-0.0136529,0.044566
18,1714.33,1010.03,0,-2.21649,-0.0181321,0.0426169
19,1713.54,1009.58,0,-2.20593,-0.0171051,0.0310368
20,1713.08,1009.23,0,-2.20446,-0.0202583,0.0290758
21,1713.98,1009.73,0,-2.22515,-0.0139008,0.0392911
22,1714,1009.94,0,-2.2365,-0.0118324,0.0385248
23,1712.95,1008.73,0,-2.21648,-0.0160941,0.0336261
24,1712.96,1008.66,0,-2.22136,-0.0156977,0.0354333
25,1712.5,1008.06,0,-2.21378,-0.0165047,0.0363376
26,1712.38,1008.05,0,-2.21829,-0.015622,0.0357692
27,1711.48,1007.34,0,-2.20715,-0.0185831,0.0309162
28,1711.48,1007.25,0,-2.20965,-0.0163282,0.0336853
29,1711.49,1007.23,0,-2.21339,-0.0131823,0.0331448
30,1711.53,1007.2,0,-2.21677,-0.0117334,0.033935
31,1711.54,1007.18,0,-2.22287,-0.0114456,0.0367234
32,1711.53,1007.12,0,-2.22736,-0.0108716,0.0393502
33,1711.38,1007.05,0,-2.2314,-0.0108798,0.0414356
34,1711.37,1007.04,0,-2.2339,-0.0104275,0.04417
35,1710.05,1006.07,0,-2.22482,-0.0155326,0.0273177
36,1710.06,1006.07,0,-2.22719,-0.0133567,0.0290643
37,1709.55,1004.52,0,-2.19545,-0.0152086,0.0643696
38,1710.16,1004.05,0,-2.19593,-0.0120177,0.0802566
39,1710.14,1004.05,0,-2.19937,-0.0111796,0.084157
40,1709.61,1004.49,0,-2.20229,-0.00916868,0.0706037
41,1709.55,1004.41,0,-2.20302,-0.00963097,0.0738013
42,1709.59,1004.3,0,-2.20451,-0.0072833,0.0833543
43,1708.97,1002.78,0,-2.18473,-0.0101284,0.072495
44,1708.71,1002.72,0,-2.18512,-0.0112377,0.0645437
45,1708.66,1002.68,0,-2.18683,-0.0107403,0.0641668
46,1708.51,1002.51,0,-2.18924,-0.0107702,0.0643608
47,1708.46,1002.39,0,-2.18747,-0.00711753,0.0699409
48,1708.13,1002.04,0,-2.18541,-0.00774898,0.0659053
49,1708.11,1002.03,0,-2.18556,-0.00625289,0.0646042
50,1708.11,1002,0,-2.18468,-0.00561169,0.0643841
51,1708.11,1002,0,-2.18586,-0.00574542,0.065103
52,1707.57,1001.08,0,-2.1767,-0.00774403,0.0609015
53,1707.29,1000.79,0,-2.17441,-0.0103019,0.0542612
54,1707.28,1000.76,0,-2.17332,-0.00777757,0.0592798
55,1707.03,1000.32,0,-2.16873,-0.010858,0.0552114
56,1706.9,1000.11,0,-2.16921,-0.0115185,0.056569
57,1707.02,1000.15,0,-2.16989,-0.00826678,0.0620682
58,1707.02,1000.21,0,-2.16812,-0.00605288,0.0616815
59,1706.5,999.843,0,-2.16481,-0.00793039,0.0571358
60,1706.74,999.279,0,-2.16235,-0.00930476,0.0648463
61,1706.64,999.286,0,-2.16226,-0.00847521,0.064461
62,1706.75,999.344,0,-2.15847,-0.00691973,0.0635203
63,1706.19,999.011,0,-2.15415,-0.0078213,0.0521109
64,1706.1,999.077,0,-2.15479,-0.00697445,0.0476336
65,1706.17,999.02,0,-2.15038,-0.0056249,0.0487362
66,1706.09,999.062,0,-2.14976,-0.00641334,0.0466912
67,1705.42,997.78,0,-2.14571,-0.00909612,0.0332191
68,1705.35,997.746,0,-2.14689,-0.00966002,0.0297558
69,1705.37,997.797,0,-2.14507,-0.00891138,0.0295495
70,1705.34,997.749,0,-2.14189,-0.00891933,0.0264629
71,1703.42,997.145,0,-2.14991,-0.00502336,-0.0199201
72,1704,995.861,0,-2.12758,-0.0149374,0.0374432
73,1703.99,995.835,0,-2.12937,-0.0136163,0.033804
74,1703.95,995.743,0,-2.12904,-0.0137102,0.0306876
75,1703.82,995.432,0,-2.12956,-0.0141786,0.0298894
76,1703.72,995.112,0,-2.12538,-0.0147205,0.0318905
77,1703.69,995.032,0,-2.1216,-0.0136837,0.0320582
78,1703.88,995.376,0,-2.12238,-0.013442,0.0308964
79,1703.83,995.541,0,-2.12367,-0.0141981,0.0281144
80,1703.73,995.428,0,-2.12635,-0.0136846,0.0278639
81,1703.47,994.805,0,-2.11872,-0.0137126,0.0293212
82,1704.22,994.145,0,-2.12386,-0.013101,0.0345154
83,1703.68,995.039,0,-2.1176,-0.012332,0.0251107
84,1703.46,994.59,0,-2.11921,-0.0113619,0.0284055
85,1704.06,994.153,0,-2.12293,-0.00940338,0.0294051
86,1702.36,993.086,0,-2.12314,-0.0105478,0.0278651
87,1702.49,993.093,0,-2.12216,-0.00881973,0.0278097
88,1702.49,992.976,0,-2.11598,-0.00761221,0.0308965
89,1702.48,992.97,0,-2.12051,-0.00756718,0.0318599
90,1702.4,993.075,0,-2.12235,-0.00731279,0.0280422
91,1702,992.557,0,-2.11464,-0.00526108,0.0175481
92,1702,992.527,0,-2.1114,-0.00411435,0.0160311
93,1702.01,992.488,0,-2.11646,-0.00242505,0.0163885
94,1701.99,992.409,0,-2.12366,-0.00192138,0.018223
95,1701.54,991.814,0,-2.13076,-0.00125105,0.0177901
96,1701.57,991.796,0,-2.13586,0.000725051,0.0231907
