id,x,y,z,yaw,pitch,roll
1,1716.95,1014.62,0,-2.18676,-0.0322662,0.0375431
2,1716.43,1014.01,0,-2.18318,-0.0250565,0.0347866
3,1716.2,1013.81,0,-2.18666,-0.0149174,0.0259412
4,1716.19,1013.81,0,-2.18846,-0.0127875,0.0250407
5,1716.13,1013.77,0,-2.19635,-0.00913444,0.0178542
6,1716.08,1013.72,0,-2.20238,-0.0114761,0.011531
7,1716.07,1013.7,0,-2.20824,-0.0161481,0.012903
8,1716.05,1013.68,0,-2.21488,-0.0178233,0.0160829
9,1716.03,1013.68,0,-2.22006,-0.0189576,0.0202576
10,1716.03,1013.68,0,-2.22597,-0.0179948,0.0202488
11,1715.43,1013.01,0,-2.2167,-0.0196582,0.0210364
12,1715.42,1013,0,-2.21978,-0.0187722,0.0217634
13,1715.14,1012.09,0,-2.21639,-0.0208246,0.0293458
14,1714.12,1010.62,0,-2.1965,-0.0218845,0.0328937
15,1714.13,1010.57,0,-2.2002,-0.0207072,0.0336852
16,1713.96,1010.24,0,-2.20119,-0.0198422,0.0352839
17,1714.05,1010.06,0,-2.2072,-0.0192821,0.0380654
18,1714.11,1010.08,0,-2.21334,-0.0181441,0.0367817
19,1713.79,1010.07,0,-2.21345,-0.0158316,0.0313805
20,1713.49,1009.53,0,-2.21102,-0.0175491,0.0308368
21,1713.98,1009.72,0,-2.22488,-0.013935,0.0392335
22,1714,1009.93,0,-2.23622,-0.0119176,0.0385372
23,1713.72,1009.65,0,-2.23593,-0.0119905,0.0369061
24,1712.96,1008.67,0,-2.2214,-0.015634,0.0353361
25,1712.51,1008.08,0,-2.21411,-0.016198,0.03611
26,1712.32,1008.09,0,-2.21811,-0.0152389,0.0340108
27,1711.96,1007.76,0,-2.21535,-0.0162572,0.0323891
28,1711.91,1007.6,0,-2.21289,-0.0107967,0.033003
29,1711.5,1007.38,0,-2.2146,-0.0112501,0.0315931
30,1711.53,1007.2,0,-2.21665,-0.0116394,0.0338336
31,1711.54,1007.18,0,-2.22274,-0.0113319,0.0365918
32,1711.53,1007.11,0,-2.22683,-0.0105498,0.0386169
33,1711.39,1007.05,0,-2.23139,-0.0108897,0.0412789
34,1711.37,1007.04,0,-2.23379,-0.0104068,0.0440403
35,1710.05,1006.07,0,-2.2248,-0.0155286,0.0273228
36,1710.06,1006.07,0,-2.22713,-0.0133862,0.0289869
37,1710.03,1005.88,0,-2.22661,-0.0121044,0.0361676
38,1710.1,1005.2,0,-2.20929,-0.00878686,0.0677026
39,1709.58,1004.61,0,-2.20304,-0.0102024,0.0677149
40,1709.59,1004.52,0,-2.2032,-0.00900958,0.0696074
41,1709.61,1004.41,0,-2.20293,-0.0096178,0.0735396
42,1709.59,1004.32,0,-2.20528,-0.00821733,0.0782466
43,1709.59,1004.25,0,-2.20449,-0.00760912,0.0847478
44,1708.94,1002.77,0,-2.18587,-0.00885478,0.0740446
45,1708.67,1002.67,0,-2.18681,-0.0103804,0.0677408
46,1708.59,1002.64,0,-2.18816,-0.00954628,0.065922
47,1708.46,1002.39,0,-2.18741,-0.00713976,0.0699555
48,1708.32,1002.3,0,-2.18765,-0.00667798,0.0674314
49,1708.14,1002.05,0,-2.18505,-0.00562103,0.0648394
50,1708.11,1002,0,-2.18466,-0.0056289,0.0644142
51,1708.1,1002.04,0,-2.18523,-0.00505525,0.0637377
52,1707.73,1001.68,0,-2.18191,-0.0063912,0.058656
53,1707.57,1001.07,0,-2.17639,-0.00658465,0.0630765
54,1707.57,1001.08,0,-2.17512,-0.00555667,0.0636553
55,1707.16,1000.71,0,-2.17415,-0.00834861,0.0574962
56,1707.01,1000.19,0,-2.16935,-0.0109342,0.0597447
57,1707.02,1000.15,0,-2.16983,-0.00828632,0.0621547
58,1707,1000.13,0,-2.16904,-0.0073285,0.0635128
59,1706.46,999.876,0,-2.16403,-0.00799639,0.0550513
60,1706.55,999.83,0,-2.16183,-0.00762583,0.0540307
61,1706.58,999.822,0,-2.16151,-0.00617186,0.0540225
62,1706.55,999.83,0,-2.1602,-0.00614273,0.0532249
63,1706.41,999.704,0,-2.15911,-0.00702809,0.0505745
64,1706.56,999.72,0,-2.15491,-0.00502581,0.0485043
65,1706.55,999.286,0,-2.15119,-0.00673587,0.0559863
66,1706.08,999.064,0,-2.1494,-0.00669305,0.0476809
67,1705.46,997.862,0,-2.14601,-0.00849177,0.032588
68,1705.35,997.77,0,-2.14786,-0.00951635,0.0293563
69,1705.34,997.775,0,-2.14665,-0.00944635,0.0285348
70,1705.34,997.757,0,-2.14455,-0.00912086,0.026237
71,1705.31,997.754,0,-2.14422,-0.00890908,0.0235934
72,1705.26,997.762,0,-2.14468,-0.0101846,0.0210418
73,1705.21,997.748,0,-2.14509,-0.0109479,0.0179483
74,1705.18,997.755,0,-2.14528,-0.0124464,0.0163862
75,1703.45,997.137,0,-2.1525,-0.0073076,-0.00367488
76,1703.91,995.738,0,-2.13386,-0.0134146,0.0299321
77,1703.81,995.467,0,-2.12709,-0.0133788,0.0295951
78,1703.83,995.406,0,-2.1235,-0.0132395,0.029421
79,1703.82,995.542,0,-2.12452,-0.0141839,0.0280005
80,1703.73,995.424,0,-2.12735,-0.0137049,0.027984
81,1703.63,995.081,0,-2.11968,-0.0139942,0.0266876
