id,x,y,z,yaw,pitch,roll
1,1716.99,1014.76,0,-2.19126,-0.046668,0.018369
2,1716.76,1014.5,0,-2.19213,-0.0340955,0.0118626
3,1716.58,1014.26,0,-2.19552,-0.0228392,0.00570662
4,1716.39,1013.93,0,-2.19343,-0.0195206,0.00420487
5,1716.15,1013.6,0,-2.19547,-0.0192246,-0.00193211
6,1715.96,1013.27,0,-2.19715,-0.0222241,-0.0038669
7,1715.73,1012.96,0,-2.1978,-0.0261209,-0.00363878
8,1715.6,1012.73,0,-2.19997,-0.0285324,-0.000467788
9,1715.33,1012.36,0,-2.20025,-0.0311542,0.00194654
10,1715.1,1012.07,0,-2.20024,-0.0312438,0.00256438
11,1714.92,1011.84,0,-2.20094,-0.0300296,0.000199937
12,1714.67,1011.44,0,-2.19929,-0.0317396,0.00223091
13,1714.43,1011.1,0,-2.19928,-0.0305198,0.00444182
14,1714.26,1010.82,0,-2.20034,-0.0282345,0.00690163
15,1714.06,1010.61,0,-2.20211,-0.0290739,0.00604114
16,1713.87,1010.31,0,-2.20184,-0.0278326,0.00847143
17,1713.67,1010.04,0,-2.20271,-0.0244963,0.00429238
18,1713.46,1009.73,0,-2.20259,-0.0258257,0.00428612
19,1713.21,1009.43,0,-2.20223,-0.0254454,0.00269474
20,1713,1009.14,0,-2.20274,-0.02717,0.00199398
21,1712.85,1008.95,0,-2.20471,-0.0261215,-0.00111562
22,1712.63,1008.63,0,-2.20506,-0.0279386,-0.000620656
23,1712.37,1008.29,0,-2.20409,-0.0276165,-0.000503607
24,1712.18,1008.07,0,-2.20515,-0.0276553,-0.00269886
25,1711.89,1007.68,0,-2.20281,-0.0284251,-0.00356819
26,1711.72,1007.44,0,-2.20381,-0.0275538,-0.00487784
27,1711.55,1007.21,0,-2.20437,-0.0268509,-0.00484758
28,1711.45,1007.02,0,-2.20554,-0.0221056,-0.00618129
29,1711.21,1006.72,0,-2.20469,-0.0226179,-0.00574348
30,1710.87,1006.28,0,-2.2014,-0.023696,-0.00730365
31,1710.82,1006.15,0,-2.20305,-0.0218799,-0.00837399
32,1710.75,1006.04,0,-2.20539,-0.0199688,-0.00740124
33,1710.66,1005.87,0,-2.20587,-0.0166134,-0.00798144
34,1710.4,1005.52,0,-2.20385,-0.0152796,-0.00925218
35,1710.18,1005.18,0,-2.20062,-0.0109392,0.00470479
36,1709.94,1004.87,0,-2.19818,-0.0111666,0.00346298
37,1709.85,1004.71,0,-2.1992,-0.0115218,0.00561394
38,1709.69,1004.45,0,-2.19778,-0.0105341,0.00496646
39,1709.58,1004.25,0,-2.19742,-0.010901,0.00727591
40,1709.43,1004.06,0,-2.1966,-0.00978123,0.00606267
41,1709.18,1003.73,0,-2.19384,-0.0104999,0.00646612
42,1708.72,1003.11,0,-2.18805,-0.010253,0.00291195
43,1708.66,1003.02,0,-2.18972,-0.0103826,0.00330762
44,1708.59,1002.89,0,-2.1891,-0.00900002,0.00335305
45,1708.3,1002.49,0,-2.18628,-0.0100573,0.00338903
46,1708.13,1002.25,0,-2.18517,-0.010776,0.0074428
47,1707.98,1002,0,-2.1833,-0.00788391,0.0114359
48,1707.79,1001.75,0,-2.1809,-0.00594034,0.0132471
49,1707.67,1001.59,0,-2.17891,-0.00542741,0.0114667
50,1707.43,1001.24,0,-2.17578,-0.0077965,0.0106762
51,1707.32,1001.1,0,-2.17439,-0.00671753,0.00960108
52,1707.21,1000.93,0,-2.17356,-0.00679065,0.00897399
53,1706.96,1000.51,0,-2.16742,-0.00628086,0.00841744
54,1706.84,1000.36,0,-2.16693,-0.00611144,0.00886241
55,1706.7,1000.15,0,-2.16557,-0.00766752,0.00811831
56,1706.36,999.687,0,-2.16119,-0.0127304,0.0102229
57,1706.28,999.583,0,-2.16062,-0.0081594,0.00462938
58,1706.22,999.483,0,-2.15974,-0.00585706,0.0024582
59,1706.11,999.247,0,-2.15656,-0.00613113,0.00203642
60,1705.76,998.79,0,-2.14933,-0.00718349,-0.00406354
61,1705.62,998.6,0,-2.14839,-0.00747001,-0.00405219
62,1705.52,998.419,0,-2.14664,-0.00824934,-0.00501415
63,1705.36,998.219,0,-2.14475,-0.00836175,-0.010059
64,1705.24,998.054,0,-2.14337,-0.00844334,-0.0105534
65,1705.09,997.783,0,-2.14214,-0.00961065,-0.00825065
66,1704.92,997.546,0,-2.14066,-0.00941446,-0.00870126
67,1704.82,997.385,0,-2.14129,-0.011174,-0.00273739
68,1704.72,997.196,0,-2.13885,-0.0120911,-0.000935914
69,1704.55,996.888,0,-2.1368,-0.0133664,-0.000219978
70,1704.43,996.706,0,-2.13467,-0.0133576,-0.000238117
71,1704.15,996.302,0,-2.1303,-0.0136371,-0.00406428
72,1703.99,996.053,0,-2.12897,-0.0142693,-0.00484576
73,1703.82,995.824,0,-2.12754,-0.0117995,-0.0100089
74,1703.65,995.562,0,-2.12586,-0.0136047,-0.012079
75,1703.54,995.387,0,-2.12661,-0.0138124,-0.0107471
76,1703.36,995.062,0,-2.1247,-0.0149691,-0.010204
77,1703.09,994.589,0,-2.12162,-0.0214937,-0.00629444
78,1702.97,994.357,0,-2.12017,-0.0212112,-0.00625429
79,1702.73,994.026,0,-2.11774,-0.0231982,-0.0059721
80,1702.68,993.927,0,-2.1182,-0.0222368,-0.00619846
