id,x,y,z,yaw,pitch,roll
1,1716.99,1014.76,0,-2.19126,-0.046668,0.018369
2,1716.75,1014.49,0,-2.19258,-0.0373853,0.0117234
3,1716.59,1014.27,0,-2.19655,-0.0227626,0.0055088
4,1716.39,1013.93,0,-2.19363,-0.0205925,0.00474329
5,1716.15,1013.6,0,-2.19562,-0.0186332,-0.002062
6,1715.95,1013.26,0,-2.19708,-0.022367,-0.00397993
7,1715.73,1012.96,0,-2.19776,-0.0259142,-0.00369446
8,1715.59,1012.71,0,-2.19944,-0.0288863,4.89035e-05
9,1715.29,1012.21,0,-2.19686,-0.0301746,0.00452296
10,1715.11,1012.07,0,-2.20047,-0.0310137,0.00263971
11,1714.83,1011.66,0,-2.19724,-0.0310753,0.000862305
12,1714.68,1011.44,0,-2.19922,-0.0317504,0.00224102
13,1714.39,1011.02,0,-2.19824,-0.0304633,0.00562761
14,1714.25,1010.81,0,-2.2002,-0.0289144,0.00773613
15,1714.05,1010.54,0,-2.20067,-0.0288839,0.00742435
16,1713.87,1010.31,0,-2.20185,-0.0278332,0.00838488
17,1713.64,1009.96,0,-2.20108,-0.0246346,0.00422815
18,1713.46,1009.73,0,-2.20255,-0.0258496,0.00429749
19,1713.17,1009.38,0,-2.2013,-0.0261876,0.0018419
20,1713,1009.09,0,-2.20159,-0.0262531,0.00156854
21,1712.86,1008.94,0,-2.20463,-0.0257396,-0.00101604
22,1712.62,1008.62,0,-2.20486,-0.0280931,-0.000519517
23,1712.38,1008.28,0,-2.2037,-0.0261893,-0.000991745
24,1712.18,1008.08,0,-2.20527,-0.0279946,-0.00251448
25,1711.9,1007.7,0,-2.20315,-0.0281594,-0.00353584
26,1711.72,1007.44,0,-2.20375,-0.0275967,-0.0048569
27,1711.5,1007.13,0,-2.20276,-0.0266915,-0.00544167
28,1711.43,1007.01,0,-2.20568,-0.0242462,-0.00612229
29,1711.21,1006.73,0,-2.20494,-0.0230389,-0.00626079
30,1710.87,1006.27,0,-2.20133,-0.0236417,-0.00769975
31,1710.83,1006.16,0,-2.20476,-0.0277894,-0.00526645
32,1710.71,1005.99,0,-2.20648,-0.027601,-0.00436727
33,1710.56,1005.77,0,-2.20458,-0.0212077,-0.00561498
34,1710.4,1005.52,0,-2.2038,-0.0152867,-0.00924377
35,1709.97,1004.98,0,-2.19765,-0.0162188,-0.0128862
36,1709.88,1004.84,0,-2.19856,-0.0161506,-0.010468
37,1709.78,1004.61,0,-2.19732,-0.0120464,0.00276313
38,1709.6,1004.37,0,-2.19506,-0.0106645,0.0038915
39,1709.42,1004.08,0,-2.19292,-0.011719,0.00382201
40,1709.43,1004.06,0,-2.19659,-0.00983358,0.006126
41,1708.97,1003.48,0,-2.18848,-0.00961863,0.00246131
42,1708.73,1003.12,0,-2.18837,-0.0105439,0.00327312
43,1708.66,1003.01,0,-2.18953,-0.0106152,0.0040055
44,1708.58,1002.88,0,-2.18905,-0.00902269,0.00393723
45,1708.31,1002.51,0,-2.18612,-0.00914756,0.00523549
46,1708.11,1002.24,0,-2.18525,-0.0119827,0.00538098
47,1707.98,1002,0,-2.18316,-0.00785287,0.0114123
48,1707.73,1001.68,0,-2.17971,-0.00708211,0.0109557
49,1707.54,1001.44,0,-2.178,-0.00700986,0.0104851
50,1707.43,1001.24,0,-2.17581,-0.00796185,0.0108276
51,1707.26,1001.01,0,-2.175,-0.00889471,0.0111513
52,1707.19,1000.89,0,-2.17427,-0.00892284,0.0118205
53,1707,1000.56,0,-2.17066,-0.00960383,0.0133216
54,1706.82,1000.33,0,-2.16959,-0.00987993,0.0137125
55,1706.7,1000.18,0,-2.16823,-0.0112064,0.0131742
