id,x,y,z,yaw,pitch,roll
1,1716.95,1014.62,0,-2.18676,-0.0322662,0.0375431
2,1716.31,1014.01,0,-2.18189,-0.0259639,0.0288435
3,1716.2,1013.82,0,-2.18612,-0.0143953,0.0258688
4,1716.18,1013.81,0,-2.18954,-0.0102685,0.0238719
5,1716.14,1013.76,0,-2.19629,-0.00878074,0.0207482
6,1716.08,1013.71,0,-2.20227,-0.0118482,0.013761
7,1715.83,1013.27,0,-2.20082,-0.0169177,0.0190006
8,1715.54,1013.02,0,-2.1999,-0.0176261,0.0196559
9,1715.44,1013.02,0,-2.20368,-0.0203468,0.0205162
10,1715.44,1013.01,0,-2.20974,-0.020345,0.0210084
11,1715.43,1013,0,-2.21434,-0.0202523,0.0215585
12,1715.41,1013,0,-2.21961,-0.0184088,0.023699
13,1715.39,1012.94,0,-2.22489,-0.0163585,0.0260666
14,1715.27,1012.71,0,-2.22704,-0.0157596,0.0258938
15,1715.62,1012.02,0,-2.23596,-0.0138793,0.0398186
16,1714.73,1010.58,0,-2.21435,-0.0172069,0.0459061
17,1714.39,1010.11,0,-2.21187,-0.0181784,0.0438106
18,1714,1009.79,0,-2.20942,-0.0185112,0.0394271
19,1713.98,1009.74,0,-2.21395,-0.0160416,0.0382011
20,1713.98,1009.73,0,-2.22045,-0.015565,0.0396783
21,1713.98,1009.72,0,-2.22505,-0.0139295,0.0392714
22,1713.86,1009.68,0,-2.23029,-0.0123341,0.0378664
23,1712.95,1008.72,0,-2.21623,-0.0162522,0.033674
24,1712.38,1008.08,0,-2.20725,-0.0194379,0.0327649
25,1711.95,1007.65,0,-2.20167,-0.0199003,0.0304973
26,1711.48,1007.29,0,-2.20144,-0.0243039,0.0295512
27,1711.48,1007.26,0,-2.20539,-0.0206911,0.0340758
28,1711.49,1007.25,0,-2.20972,-0.0171353,0.0345904
29,1711.53,1007.22,0,-2.21285,-0.0142395,0.0353206
30,1711.53,1007.19,0,-2.21651,-0.0117128,0.0341013
31,1711.54,1007.16,0,-2.22153,-0.0106448,0.0353057
32,1711.53,1007.12,0,-2.22699,-0.010615,0.03892
33,1711.54,1007.09,0,-2.22966,-0.00946023,0.0422811
34,1711.54,1007.07,0,-2.23206,-0.0084924,0.0437029
35,1711.55,1007.07,0,-2.23644,-0.0078538,0.0463527
36,1711.54,1007.08,0,-2.23997,-0.00652194,0.0479476
37,1711.54,1007.09,0,-2.24089,-0.0059706,0.0482965
38,1711.4,1007.07,0,-2.2438,-0.00195614,0.0464262
39,1711.44,1007.12,0,-2.24331,0.00307157,0.0509815
40,1711.63,1007.1,0,-2.24067,0.00438958,0.0587996
41,1711.63,1007.08,0,-2.23932,0.00379677,0.0608817
42,1711.6,1007.08,0,-2.23564,0.00188937,0.0660834
43,1711.61,1007.08,0,-2.23094,-7.60746e-05,0.0676002
44,1711.61,1007.1,0,-2.22809,-0.00167354,0.068616
45,1711.41,1007.05,0,-2.2287,-0.00178951,0.0670872
46,1711.58,1007.09,0,-2.22187,-0.00261905,0.069976
47,1711.6,1007.08,0,-2.21627,-0.00335483,0.0700193
48,1711.58,1007.08,0,-2.18929,-0.0110508,0.0631145
49,1711.53,1007.1,0,-2.18444,-0.00991517,0.0571106
50,1711.2,1007.09,0,-2.10618,-0.0308356,0.0349935
51,1711.46,1007.28,0,-2.09815,-0.031639,0.0374527
52,1711.46,1007.26,0,-2.09324,-0.0311158,0.0370568
53,1711.09,1007.07,0,-2.0906,-0.0317443,0.0308053
54,1710.36,1006.88,0,-2.08916,-0.0304909,0.0171056
55,1709.93,1006.43,0,-2.09221,-0.0284961,0.0145776
56,1709.9,1006.12,0,-2.09492,-0.0285437,0.0242265
57,1709.88,1006.11,0,-2.09597,-0.0281131,0.0235512
58,1709.84,1005.95,0,-2.09929,-0.0291673,0.0270432
59,1709.83,1006.01,0,-2.09439,-0.0311597,0.0245676
60,1709.82,1006.07,0,-2.09402,-0.0319117,0.021303
61,1709.87,1006.15,0,-2.09471,-0.0327724,0.0188076
62,1709.86,1006.42,0,-2.08952,-0.0383591,0.00298326
63,1709.86,1006.41,0,-2.0907,-0.0374356,0.00284261
64,1709.87,1006.4,0,-2.08835,-0.0380128,0.00414365
65,1709.89,1006.43,0,-2.08601,-0.042357,0.00345812
66,1709.9,1006.44,0,-2.08662,-0.0405201,0.0018634
67,1709.89,1006.4,0,-2.08767,-0.0405456,0.0023778
68,1709.88,1006.12,0,-2.08669,-0.0404544,0.0110681
69,1709.88,1006.08,0,-2.08743,-0.0391973,0.0115927
70,1709.88,1005.95,0,-2.08872,-0.0371399,0.0125106
71,1709.87,1005.97,0,-2.08664,-0.0359083,0.00917406
72,1709.88,1006.16,0,-2.08428,-0.0351289,-0.000128876
73,1709.89,1006.15,0,-2.08661,-0.0343045,-0.000964641
74,1709.9,1006.15,0,-2.08749,-0.036093,-0.000980441
75,1709.91,1006.15,0,-2.08629,-0.0355581,-0.00208883
76,1709.92,1006.13,0,-2.08565,-0.0349296,-0.00123709
77,1709.92,1006.12,0,-2.08312,-0.0388981,-0.00260433
78,1709.92,1006.12,0,-2.08663,-0.0395255,-0.00289998
79,1709.92,1006.12,0,-2.08719,-0.03723,-0.00493506
80,1709.9,1005.94,0,-2.09161,-0.0340904,-0.00262465
81,1709.9,1006.13,0,-2.09434,-0.0352932,-0.00848445
82,1709.89,1006.13,0,-2.09666,-0.0328105,-0.00966838
83,1709.88,1005.93,0,-2.10076,-0.0369908,-0.00235352
84,1709.94,1005.84,0,-2.10705,-0.0375468,0.00419483
85,1709.96,1005.78,0,-2.11008,-0.0362791,0.00685777
86,1709.96,1005.77,0,-2.11326,-0.0331115,0.00542327
87,1709.98,1005.77,0,-2.11564,-0.0304087,0.00659352
88,1710,1005.74,0,-2.12189,-0.0304019,0.0104665
89,1710.08,1005.07,0,-2.11518,-0.0287388,0.0273977
90,1710.02,1004.83,0,-2.1166,-0.0294308,0.0291163
91,1710.14,1004.36,0,-2.11662,-0.027868,0.0342847
92,1710.16,1004.17,0,-2.11499,-0.0264345,0.0348336
93,1710.57,1003.07,0,-2.09505,-0.0277929,0.0439272
94,1710.56,1003.05,0,-2.10074,-0.0255222,0.0497622
95,1710.61,1003.06,0,-2.10451,-0.0204644,0.0502098
96,1710.61,1003.07,0,-2.10839,-0.0205549,0.0519943
97,1710.64,1003.07,0,-2.11232,-0.020383,0.0595504
98,1710.61,1003.07,0,-2.114,-0.0216514,0.0551078
99,1710.61,1003.08,0,-2.11354,-0.0216931,0.0531469
100,1710.61,1003.07,0,-2.11532,-0.0220399,0.0550205
101,1710.59,1003.06,0,-2.12352,-0.0207907,0.0559855
102,1710.59,1003.06,0,-2.12733,-0.0208477,0.053703
103,1710.57,1003.04,0,-2.12752,-0.0226814,0.052649
104,1710.58,1003.02,0,-2.12736,-0.0225967,0.0543166
105,1710.59,1003.02,0,-2.12788,-0.0243544,0.067105
106,1710.59,1003.01,0,-2.13247,-0.0214861,0.0688637
107,1710.6,1003.02,0,-2.13675,-0.0266019,0.0733543
108,1710.61,1002.97,0,-2.14564,-0.0303462,0.077663
109,1710.63,1002.91,0,-2.15337,-0.0283066,0.0803013
110,1710.73,1002.24,0,-2.15371,-0.030787,0.105321
111,1709,1002.35,0,-2.1715,-0.0240416,0.0778848
112,1709.03,1002.42,0,-2.17791,-0.0251673,0.0786099
113,1709.34,1003.16,0,-2.18061,-0.0269767,0.0800349
114,1709.22,1003.02,0,-2.18266,-0.0262469,0.0828739
115,1709.07,1002.75,0,-2.18655,-0.0297754,0.0852788
116,1709.06,1002.5,0,-2.19034,-0.0297008,0.0949304
117,1709.07,1002.49,0,-2.19049,-0.0253844,0.093074
118,1709.07,1002.46,0,-2.19421,-0.0269505,0.0952045
119,1709.08,1002.45,0,-2.19995,-0.0253964,0.0992241
120,1709.08,1002.5,0,-2.20119,-0.0277149,0.0987404
121,1709.09,1002.5,0,-2.20482,-0.0269014,0.101815
122,1709.09,1002.46,0,-2.20608,-0.0268975,0.105247
123,1709.09,1002.51,0,-2.20313,-0.0297657,0.106186
124,1709.09,1002.5,0,-2.20761,-0.0293538,0.106545
125,1709.09,1002.53,0,-2.20848,-0.0286777,0.103268
126,1709.09,1002.55,0,-2.21009,-0.0284977,0.101773
127,1709.09,1002.55,0,-2.20921,-0.0281762,0.10382
128,1709.09,1002.53,0,-2.20884,-0.0279649,0.102737
129,1709.09,1002.51,0,-2.21181,-0.0303036,0.105194
130,1709.09,1002.52,0,-2.21205,-0.0305821,0.105433
131,1709.09,1002.5,0,-2.21268,-0.0303687,0.106179
132,1708.91,1002.52,0,-2.21196,-0.0298651,0.105703
133,1708.68,1002.22,0,-2.21643,-0.0311522,0.103473
