id,x,y,z,yaw,pitch,roll
1,1716.99,1014.76,0,-2.19148,-0.0471168,0.0182862
2,1716.76,1014.49,0,-2.1921,-0.0346254,0.0120231
3,1716.56,1014.23,0,-2.19477,-0.0244626,0.00616688
4,1716.4,1013.93,0,-2.19355,-0.0199328,0.00480942
5,1716.18,1013.63,0,-2.19567,-0.0183265,-0.000711728
6,1715.95,1013.25,0,-2.19683,-0.022725,-0.00375105
7,1715.73,1012.95,0,-2.19769,-0.0260054,-0.00363117
8,1715.57,1012.7,0,-2.19934,-0.0287547,-0.000838884
9,1715.33,1012.37,0,-2.19978,-0.0307411,0.0017033
10,1715.11,1012.07,0,-2.1998,-0.0313515,0.0028254
11,1714.92,1011.83,0,-2.20077,-0.0306213,0.000465499
12,1714.67,1011.43,0,-2.19926,-0.032115,0.0028382
13,1714.43,1011.07,0,-2.19942,-0.0315648,0.00562106
14,1714.25,1010.82,0,-2.20065,-0.0303725,0.00492729
15,1714.05,1010.6,0,-2.20183,-0.0297448,0.00525975
16,1713.84,1010.23,0,-2.20073,-0.0284658,0.00846303
17,1713.64,1009.95,0,-2.202,-0.0279956,0.00725057
18,1713.46,1009.71,0,-2.20219,-0.0264953,0.0052752
19,1713.2,1009.41,0,-2.20203,-0.0259198,0.00360969
20,1713.01,1009.13,0,-2.20264,-0.0275208,0.00240276
21,1712.84,1008.91,0,-2.20417,-0.0262298,2.35116e-05
22,1712.63,1008.63,0,-2.20514,-0.0281808,-0.000287534
23,1712.39,1008.29,0,-2.20441,-0.0284939,0.000483318
24,1712.2,1008.08,0,-2.20536,-0.0282209,-0.000805573
25,1711.88,1007.66,0,-2.20288,-0.02912,-0.00291784
26,1711.66,1007.36,0,-2.20273,-0.0293212,-0.00496616
27,1711.52,1007.17,0,-2.20343,-0.027474,-0.00477452
28,1711.4,1006.98,0,-2.20474,-0.0244294,-0.00673304
29,1711.2,1006.74,0,-2.20486,-0.0238583,-0.0071124
30,1710.87,1006.27,0,-2.20152,-0.0244087,-0.00663663
31,1710.79,1006.12,0,-2.20292,-0.0243732,-0.00776964
32,1710.68,1005.96,0,-2.20489,-0.0246231,-0.00635574
33,1710.56,1005.77,0,-2.20467,-0.0210977,-0.00576175
34,1710.37,1005.49,0,-2.20349,-0.0161552,-0.00944675
35,1710.09,1005.16,0,-2.19984,-0.0153903,-0.0121036
36,1709.9,1004.85,0,-2.19882,-0.0162747,-0.0110688
37,1709.76,1004.63,0,-2.19771,-0.014138,-0.00632556
