id,x,y,z,yaw,pitch,roll
1,-285.126,226.322,-12.6125,2.44852,0.0124728,0.0418905
2,-284.887,226.11,-12.5946,2.44873,0.0139996,0.044321
3,-285.356,226.509,-12.6184,2.44826,0.0120717,0.0403984
4,-285.591,226.716,-12.6333,2.44859,0.0106915,0.0380011
5,-285.818,226.925,-12.6292,2.45002,0.00994261,0.0333307
6,-286.017,227.124,-12.6189,2.45029,0.0103612,0.0327477
7,-286.201,227.318,-12.629,2.44889,0.00975968,0.0333633
8,-286.424,227.485,-12.6182,2.44987,0.00988786,0.0346255
9,-286.646,227.659,-12.6131,2.45098,0.00771107,0.0348793
10,-286.872,227.834,-12.6192,2.45154,0.00658905,0.03479
11,-287.059,228.02,-12.5889,2.45166,0.00253459,0.0354632
12,-287.255,228.181,-12.5746,2.45112,-0.00145771,0.0363565
13,-287.449,228.325,-12.6195,2.45112,-0.00434978,0.0392405
14,-287.635,228.48,-12.6373,2.4505,-0.003797,0.0415489
15,-287.829,228.644,-12.65,2.45099,-0.00161599,0.0422185
16,-287.981,228.799,-12.6403,2.45089,-0.000547774,0.0415517
17,-288.151,228.963,-12.6529,2.45066,-1.75705e-05,0.0415857
18,-288.349,229.119,-12.6713,2.45155,0.00114588,0.0420028
19,-288.541,229.284,-12.6914,2.45239,0.0047391,0.0417551
20,-288.695,229.399,-12.6704,2.45298,0.00589007,0.0408887
21,-288.845,229.54,-12.663,2.4534,0.00660376,0.0372458
22,-289.018,229.676,-12.6701,2.45399,0.00559514,0.0380713
23,-289.192,229.809,-12.6941,2.45412,0.00500959,0.0409871
24,-289.338,229.944,-12.6905,2.4534,0.00914763,0.0399781
25,-289.481,230.057,-12.6898,2.455,0.0121539,0.0425002
26,-289.647,230.193,-12.7057,2.45628,0.0140837,0.0448281
27,-289.787,230.316,-12.6981,2.45641,0.0146134,0.0460334
28,-289.93,230.425,-12.6918,2.4553,0.0140913,0.0459379
29,-290.071,230.576,-12.6777,2.45621,0.0113228,0.0455317
30,-290.223,230.681,-12.6916,2.45771,0.00920971,0.0451007
31,-290.363,230.772,-12.676,2.45806,0.00825131,0.0445473
32,-290.461,230.886,-12.6391,2.45825,0.00639943,0.0402305
33,-290.606,231.03,-12.6831,2.45779,0.00167961,0.0424193
34,-290.757,231.118,-12.6733,2.45726,-0.000490898,0.0422351
35,-290.881,231.271,-12.5649,2.45688,-0.00703951,0.0391621
36,-290.989,231.394,-12.604,2.45599,-0.0146452,0.0400885
37,-291.105,231.5,-12.6765,2.4563,-0.0156965,0.0401899
38,-291.257,231.597,-12.7006,2.45723,-0.0100814,0.0398536
39,-291.382,231.674,-12.7736,2.45758,-0.00103993,0.0415442
40,-291.476,231.789,-12.7483,2.45778,0.0050631,0.0428459
41,-291.621,231.899,-12.6877,2.45806,0.00298967,0.0443163
42,-291.772,232.007,-12.7035,2.45712,-0.000565598,0.0484737
43,-291.902,232.069,-12.723,2.4561,-0.000557008,0.054662
44,-292.028,232.204,-12.7425,2.45554,0.000927657,0.0565324
45,-292.119,232.302,-12.736,2.45558,0.00390021,0.0548891
46,-292.272,232.405,-12.7105,2.45732,0.00638477,0.0508342
47,-292.393,232.475,-12.7332,2.45932,0.00757293,0.0465001
48,-292.53,232.622,-12.729,2.45967,0.00486255,0.0467608
49,-292.629,232.729,-12.7354,2.45789,0.00396953,0.0481151
50,-292.719,232.808,-12.7626,2.45654,0.0039532,0.0490395
51,-292.804,232.882,-12.7562,2.45706,0.00571158,0.0504976
52,-292.937,233.006,-12.7375,2.45642,0.0059868,0.0503303
53,-293.059,233.118,-12.7356,2.45539,0.00606551,0.0482379
54,-293.218,233.242,-12.7423,2.45736,0.00914317,0.0478315
55,-293.319,233.314,-12.72,2.45844,0.0111397,0.0478123
56,-293.448,233.447,-12.682,2.45805,0.00792971,0.0450298
